date,review,rating,thumbs_up,cleaned_review,sentiment_label,sentiment_score,sentiment
2025-07-17 18:26:43,very good 💯,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 18:16:15,please install hone do,2,0,install hone,POSITIVE,0.957965612411499,positive
2025-07-17 18:15:52,very bed,1,0,bed,NEGATIVE,-0.6777235269546509,negative
2025-07-17 18:07:19,nice,5,0,nice,POSITIVE,0.9998552799224854,positive
2025-07-17 17:55:41,bakvas app,1,0,bakvas app,POSITIVE,0.7543045878410339,positive
2025-07-17 17:48:07,this apps not open,1,0,app open,POSITIVE,0.9981480836868286,positive
2025-07-17 17:46:45,not showing as an installed app in mobile phone,1,0,show installed app mobile phone,NEGATIVE,-0.7029980421066284,negative
2025-07-17 17:33:04,nice app,5,0,nice app,POSITIVE,0.9998061060905457,positive
2025-07-17 17:29:44,Nice,3,0,nice,POSITIVE,0.9998552799224854,positive
2025-07-17 17:29:17,ok,5,0,,POSITIVE,0.7481208443641663,positive
2025-07-17 17:23:36,mast,2,0,mast,POSITIVE,0.7173449993133545,positive
2025-07-17 17:22:55,please add to app,5,0,add app,POSITIVE,0.9830857515335083,positive
2025-07-17 17:22:14,My experience is very bad. Because this app doesn't work properly. Debugg occur in this app.,1,0,experience bad app work properly debugg occur app,NEGATIVE,-0.9996922016143799,negative
2025-07-17 16:58:43,not working,3,0,work,POSITIVE,0.9994449019432068,positive
2025-07-17 16:36:20,good,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 16:12:18,good,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 16:07:31,very good,4,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 15:54:18,worst application ever doesn't work when needed always shows error 9708,1,0,bad application work need show error 9708,NEGATIVE,-0.9997522234916687,negative
2025-07-17 15:51:38,not warkning,1,0,warkne,NEGATIVE,-0.9200902581214905,negative
2025-07-17 15:49:09,good,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 15:47:46,good,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 15:39:33,good,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 15:04:07,nice 🙂,5,0,nice,POSITIVE,0.9998552799224854,positive
2025-07-17 15:02:27,good,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 14:57:49,happy,5,0,happy,POSITIVE,0.9998753070831299,positive
2025-07-17 14:56:54,nice,5,0,nice,POSITIVE,0.9998552799224854,positive
2025-07-17 14:52:46,eroor,1,0,eroor,NEGATIVE,-0.5763660073280334,negative
2025-07-17 14:51:28,nice,1,0,nice,POSITIVE,0.9998552799224854,positive
2025-07-17 14:42:51,good,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 14:29:03,bad,2,0,bad,NEGATIVE,-0.999782383441925,negative
2025-07-17 14:19:57,chal hi nahi Raha,1,0,chal nahi raha,NEGATIVE,-0.9806185364723206,negative
2025-07-17 14:16:16,good,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 14:01:06,nice AAp,5,0,nice aap,POSITIVE,0.9998094439506531,positive
2025-07-17 13:54:02,good,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 13:31:20,good,5,0,good,POSITIVE,0.9998161196708679,positive
2025-07-17 13:29:56,keepitup gd,4,0,keepitup,POSITIVE,0.9456329941749573,positive
2025-07-17 13:22:39,worst app,1,0,bad app,NEGATIVE,-0.9997212290763855,negative
2025-07-17 13:00:07,I want this app,5,0,want app,POSITIVE,0.9786882400512695,positive
2025-07-17 12:55:24,ok,3,0,,POSITIVE,0.7481208443641663,positive
2025-07-17 12:55:22,thik hai,4,0,thik hai,POSITIVE,0.9747841358184814,positive
