review,rating,date,source,sentiment_label,sentiment_score,topics
what is WRONGGGGGGG with this app,1,2025-07-29 19:53:58,Google Play,NEGATIVE,-0.9994184970855713,"['wronggggggg', 'this app']"
super enjoy,5,2025-07-29 19:53:50,Google Play,POSITIVE,0.9998726844787598,['super']
😭😭😭😭😭,1,2025-07-29 19:53:26,Google Play,NEGATIVE,-0.6970566511154175,[]
it's good aap whran you are ugly no one texe you it's good likes a alone and Peace ful,4,2025-07-29 19:52:49,Google Play,NEGATIVE,-0.9536593556404114,"['good aap whran', 'no one', 'peace']"
"crashing, lagging, missed msgs, will be a great app again once they get their server issues squared away",1,2025-07-29 19:51:31,Google Play,NEGATIVE,-0.9949280023574829,"['msgs', 'a great app', 'their server issues']"
thank you,5,2025-07-29 19:51:05,Google Play,POSITIVE,0.9998352527618408,[]
awesome app easy to use,5,2025-07-29 19:50:17,Google Play,POSITIVE,0.999774158000946,['awesome app']
nice showeroom bahut achaa laga yha se shopping karke,5,2025-07-29 19:49:02,Google Play,POSITIVE,0.9785327315330505,['nice showeroom bahut achaa laga yha se shopping karke']
"In a terrible system, they also keep banning accounts where you didn't violate a rule, their system keeps putting things off",1,2025-07-29 19:48:04,Google Play,NEGATIVE,-0.9974523186683655,"['a terrible system', 'accounts', 'a rule', 'their system', 'things']"
Re-visit your policies or monitor reports strictly. Online harassment and bullying literally happens all the time!! You don't care about anything but money!,1,2025-07-29 19:47:36,Google Play,NEGATIVE,-0.9988502264022827,"['your policies', 'reports', 'online harassment', 'bullying', 'money']"
nice,5,2025-07-29 19:47:17,Google Play,POSITIVE,0.9998552799224854,[]
great,5,2025-07-29 19:47:12,Google Play,POSITIVE,0.9998630285263062,[]
nice App,1,2025-07-29 19:47:11,Google Play,POSITIVE,0.9998061060905457,['nice app']
Excellent,5,2025-07-29 19:47:00,Google Play,POSITIVE,0.9998434782028198,[]
nice,5,2025-07-29 19:46:25,Google Play,POSITIVE,0.9998552799224854,[]
good apps,5,2025-07-29 19:45:42,Google Play,POSITIVE,0.9998608827590942,['good apps']
hate,1,2025-07-29 19:45:18,Google Play,NEGATIVE,-0.9996899366378784,[]
Very easy to facilitate all your content,5,2025-07-29 19:44:14,Google Play,POSITIVE,0.9993457198143005,['all your content']
मेरा फेसबुक कम नहीं कर रहा है,5,2025-07-29 19:42:58,Google Play,NEGATIVE,-0.8964076638221741,['मेरा फेसबुक कम नहीं']
I am happy,5,2025-07-29 19:41:48,Google Play,POSITIVE,0.9998801946640015,[]
good app,5,2025-07-29 19:41:42,Google Play,POSITIVE,0.9998493194580078,['good app']
1 star when Facebook gets updated it gets worse I'm not seeing a lot of my friends and old posts from days ago can't you fix this it's so bad😡😞,1,2025-07-29 19:40:56,Google Play,NEGATIVE,-0.9985442161560059,"['1 star', 'facebook', 'a lot', 'my friends', 'old posts', 'so bad😡']"
"Well, I'll need to have it it's very important",5,2025-07-29 19:40:20,Google Play,NEGATIVE,-0.617702841758728,[]
nice,5,2025-07-29 19:39:52,Google Play,POSITIVE,0.9998552799224854,[]
best game plate farm,4,2025-07-29 19:39:42,Google Play,POSITIVE,0.9997788071632385,['best game plate farm']
That's nice app,5,2025-07-29 19:39:15,Google Play,POSITIVE,0.9998537302017212,['nice app']
worst apps updated of all time,1,2025-07-29 19:38:40,Google Play,NEGATIVE,-0.9997896552085876,"['worst apps', 'all time']"
You got this aye 🤣,5,2025-07-29 19:37:13,Google Play,POSITIVE,0.9946870803833008,['this aye 🤣']
Very nice,5,2025-07-29 19:36:54,Google Play,POSITIVE,0.9998563528060913,[]
I love Facebook!!,5,2025-07-29 19:36:45,Google Play,POSITIVE,0.9998101592063904,['facebook']
average,3,2025-07-29 19:36:23,Google Play,POSITIVE,0.7222251296043396,[]
my account got suspended without any right reason why meta?,1,2025-07-29 19:36:13,Google Play,NEGATIVE,-0.9997543692588806,"['my account', 'any right reason']"
nice to see you,5,2025-07-29 19:35:35,Google Play,POSITIVE,0.9998133778572083,[]
lovely,5,2025-07-29 19:34:25,Google Play,POSITIVE,0.9998601675033569,[]
It is the only platform that has allowed me to express myself and tell my story and we all have a story to tell.,5,2025-07-29 19:34:16,Google Play,POSITIVE,0.950624406337738,"['the only platform', 'my story', 'a story']"
nice,5,2025-07-29 19:34:02,Google Play,POSITIVE,0.9998552799224854,[]
"Facebook Is best platform in our daily life, i love Facebook ❤️",5,2025-07-29 19:33:25,Google Play,POSITIVE,0.9991900324821472,"['facebook', 'best platform', 'our daily life', 'facebook']"
the best way of getting to know the world,5,2025-07-29 19:33:05,Google Play,POSITIVE,0.9644321799278259,"['the best way', 'the world']"
good app,5,2025-07-29 19:32:53,Google Play,POSITIVE,0.9998493194580078,['good app']
very good app,5,2025-07-29 19:32:50,Google Play,POSITIVE,0.9998675584793091,['very good app']
good,5,2025-07-29 19:31:01,Google Play,POSITIVE,0.9998161196708679,[]
very nice app,5,2025-07-29 19:29:42,Google Play,POSITIVE,0.9998562335968018,['very nice app']
login is very tuff please code fast send and id name full see option please i am a gamer iam meny times login please change this problem,2,2025-07-29 19:29:38,Google Play,NEGATIVE,-0.9972875118255615,"['login', 'very tuff', 'fast send', 'a gamer iam meny', 'times', 'login', 'this problem']"
very useful,5,2025-07-29 19:28:56,Google Play,POSITIVE,0.999798595905304,[]
love you too Facebook,5,2025-07-29 19:28:01,Google Play,POSITIVE,0.9993054866790771,[]
tawang tawang ako..,5,2025-07-29 19:28:00,Google Play,POSITIVE,0.9476862549781799,['tawang tawang ako']
I love Facebook.,5,2025-07-29 19:27:48,Google Play,POSITIVE,0.9997097849845886,['facebook']
My experience facebook has let me down i have two pages stolen by a hacker in the last two months even now he's on my page watching all i do and say.and facebook has done nothing to help me.,1,2025-07-29 19:27:07,Google Play,NEGATIVE,-0.9986270666122437,"['my experience facebook', 'two pages', 'a hacker', 'the last two months', 'my page', 'say.and facebook']"
why not song cambodia,1,2025-07-29 19:26:32,Google Play,NEGATIVE,-0.9926514029502869,['cambodia']
not bad,5,2025-07-29 19:25:55,Google Play,POSITIVE,0.9995881915092468,[]
Better for continune my free fire,5,2025-07-29 19:25:34,Google Play,NEGATIVE,-0.986756443977356,['my free fire']
kaiyak nawalan ng account,1,2025-07-29 19:24:00,Google Play,POSITIVE,0.5209671258926392,"['kaiyak nawalan', 'ng account']"
Ver very very good....,5,2025-07-29 19:22:50,Google Play,POSITIVE,0.9998397827148438,[]
I like Facebook because their we can see the hole world,5,2025-07-29 19:22:13,Google Play,POSITIVE,0.5075438618659973,['the hole world']
nice,5,2025-07-29 19:21:48,Google Play,POSITIVE,0.9998552799224854,[]
OTP very nice,5,2025-07-29 19:21:40,Google Play,POSITIVE,0.9998270869255066,[]
𝐆𝐨𝐨𝐝,5,2025-07-29 19:20:46,Google Play,NEGATIVE,-0.6970566511154175,[]
good,5,2025-07-29 19:20:25,Google Play,POSITIVE,0.9998161196708679,[]
good,5,2025-07-29 19:20:02,Google Play,POSITIVE,0.9998161196708679,[]
great and helpful,5,2025-07-29 19:19:55,Google Play,POSITIVE,0.9998663663864136,[]
good app,1,2025-07-29 19:19:52,Google Play,POSITIVE,0.9998493194580078,['good app']
TOO MANY ADS!!!,3,2025-07-29 19:18:42,Google Play,NEGATIVE,-0.9996769428253174,['too many ads']
i want to delete it 😭,1,2025-07-29 19:17:51,Google Play,NEGATIVE,-0.9996144771575928,[]
Facebook is good like Facebook please don't make it look like TikTok please 🥺,4,2025-07-29 19:17:19,Google Play,POSITIVE,0.9802560806274414,"['facebook', 'facebook', 'tiktok']"
Good,5,2025-07-29 19:16:35,Google Play,POSITIVE,0.9998161196708679,[]
not bad,3,2025-07-29 19:14:25,Google Play,POSITIVE,0.9995881915092468,[]
"this is the worst app I used, all my account has been disabled even I don't do anything in my account and I also didn't received any violation or unusual activity that I violated cause I don't do violate their system regulations? wat da hil",1,2025-07-29 19:13:46,Google Play,NEGATIVE,-0.9997004270553589,"['the worst app', 'all my account', 'my account', 'any violation', 'unusual activity', 'their system regulations']"
good,5,2025-07-29 19:13:44,Google Play,POSITIVE,0.9998161196708679,[]
Nice,5,2025-07-29 19:12:47,Google Play,POSITIVE,0.9998552799224854,[]
likes,5,2025-07-29 19:11:19,Google Play,POSITIVE,0.9997705817222595,[]
nice 👍,5,2025-07-29 19:11:18,Google Play,POSITIVE,0.9998424053192139,[]
me like your App,5,2025-07-29 19:10:10,Google Play,POSITIVE,0.9990187883377075,['your app']
About time!,5,2025-07-29 19:09:20,Google Play,POSITIVE,0.9972165822982788,['time']
good,5,2025-07-29 19:07:54,Google Play,POSITIVE,0.9998161196708679,[]
Very bad,1,2025-07-29 19:07:30,Google Play,NEGATIVE,-0.9997884631156921,[]
"Facebook used to be a great app, but my recent experience has been really disappointing. My account was mistakenly disabled, and there’s no clear way to appeal or get proper support. The lack of communication, transparency, and resolution is extremely frustrating. I’m confident this is an error and I really hope they reinstate my account, as this is clearly a mistake that could have been easily resolved. It’s disheartening to see such a major platform fail in providing proper support.",1,2025-07-29 19:05:00,Google Play,NEGATIVE,-0.9997789263725281,"['facebook', 'a great app', 'my recent experience', 'my account', 'no clear way', 'proper support', 'the lack', 'communication', 'transparency', 'resolution', 'an error', 'my account', 'a mistake', 'proper support']"
happy,5,2025-07-29 19:04:22,Google Play,POSITIVE,0.9998753070831299,[]
Good,5,2025-07-29 19:03:47,Google Play,POSITIVE,0.9998161196708679,[]
long video problem plz fix only my phone 🥲🥲,1,2025-07-29 19:03:35,Google Play,NEGATIVE,-0.9987840056419373,"['long video problem', 'only my phone 🥲🥲']"
5 star,5,2025-07-29 19:03:22,Google Play,POSITIVE,0.9964116215705872,['5 star']
nice,5,2025-07-29 19:01:55,Google Play,POSITIVE,0.9998552799224854,[]
I love Facebook,5,2025-07-29 19:00:59,Google Play,POSITIVE,0.9996029734611511,['facebook']
just the best,5,2025-07-29 19:00:47,Google Play,POSITIVE,0.9998563528060913,[]
Veery fast,5,2025-07-29 19:00:37,Google Play,POSITIVE,0.9928870797157288,['veery']
very good,5,2025-07-29 19:00:28,Google Play,POSITIVE,0.9998520612716675,[]
very good,5,2025-07-29 19:00:21,Google Play,POSITIVE,0.9998520612716675,[]
Don't like ....,4,2025-07-29 19:00:12,Google Play,NEGATIVE,-0.9906946420669556,[]
nice,5,2025-07-29 19:00:03,Google Play,POSITIVE,0.9998552799224854,[]
Facebook is one of the Best Social media apps i have been using since 2012 till Today in one account without any problem. Thank you Facebook Team.,5,2025-07-29 18:59:50,Google Play,POSITIVE,0.9997506737709045,"['facebook', 'the best social media apps', 'today', 'one account', 'any problem']"
There are too many bugs. Mark Zuckerberg - Please stop tracking me!,3,2025-07-29 18:59:00,Google Play,NEGATIVE,-0.9995146989822388,"['too many bugs', 'mark']"
Ok,5,2025-07-29 18:58:24,Google Play,POSITIVE,0.9997851252555847,[]
good,5,2025-07-29 18:58:24,Google Play,POSITIVE,0.9998161196708679,[]
ok,5,2025-07-29 18:57:35,Google Play,POSITIVE,0.9997851252555847,[]
