review,rating,date,source,sentiment_label,sentiment_score,topics
good 👍,5,2025-07-29 19:57:31,Google Play,POSITIVE,0.9998576641082764,[]
nice,5,2025-07-29 19:57:25,Google Play,POSITIVE,0.9998552799224854,[]
best app,5,2025-07-29 19:57:02,Google Play,POSITIVE,0.999686598777771,['best app']
There's bug when i tried to replace photos before posting. I was using Samsung S24U.,2,2025-07-29 19:56:23,Google Play,NEGATIVE,-0.999579131603241,"['bug', 'photos', 'samsung s24u']"
let us remove / edit sounds from post...,2,2025-07-29 19:56:21,Google Play,NEGATIVE,-0.9987910389900208,"['/ edit', 'post']"
New,5,2025-07-29 19:55:58,Google Play,POSITIVE,0.9986042380332947,[]
Instagram is only time pass not useful,2,2025-07-29 19:55:45,Google Play,NEGATIVE,-0.9994109869003296,"['instagram', 'only time']"
very best 👌,5,2025-07-29 19:55:43,Google Play,POSITIVE,0.9998459815979004,[]
"I have been suspended for Something i didn't do, and everytime i make a new account, it will only take them 10 minutes and suspend it. i tried to make an appeal but its been a week and still no progress. I have e-mailed them about my case but still no replies. all my memories are now on the edge of Disappearinv. Please resolve this insta gram",1,2025-07-29 19:55:23,Google Play,NEGATIVE,-0.9991194605827332,"['a new account', 'an appeal', 'a week', 'still no progress', 'my case', 'still no replies', 'all my memories', 'the edge', 'disappearinv', 'this insta gram']"
love it 🤩,5,2025-07-29 19:54:37,Google Play,POSITIVE,0.9998714923858643,[]
perfect,5,2025-07-29 19:53:56,Google Play,POSITIVE,0.9998517036437988,[]
I can't makes calls,2,2025-07-29 19:53:43,Google Play,NEGATIVE,-0.9977765679359436,['calls']
"I can't see one of my friends highlights or stories and she hasn't blocked,restricted or hidden stories from me,so can you fix the bug",1,2025-07-29 19:53:11,Google Play,NEGATIVE,-0.9336535334587097,"['my friends highlights', 'stories', 'restricted or hidden stories', 'the bug']"
best app,5,2025-07-29 19:52:42,Google Play,POSITIVE,0.999686598777771,['best app']
Gud app,5,2025-07-29 19:52:00,Google Play,NEGATIVE,-0.8989125490188599,['gud app']
best 👌 👍 😍,5,2025-07-29 19:51:33,Google Play,POSITIVE,0.999036431312561,['best 👌 👍 😍']
most usaale he,5,2025-07-29 19:50:33,Google Play,POSITIVE,0.9926129579544067,[]
amazing,4,2025-07-29 19:49:28,Google Play,POSITIVE,0.999875545501709,[]
good,5,2025-07-29 19:48:52,Google Play,POSITIVE,0.9998161196708679,[]
best of the Best,5,2025-07-29 19:47:11,Google Play,POSITIVE,0.9998401403427124,[]
"5 years I spent on this app and they just suspended my account July 28th 2025 because it ""violated community guidelines"" with no other reasons listed. no flagged posts, no flagged comments, no flagged DMS or reports. just that it violated community guidelines. they have porn bots and death cam reels and allow racial comments. but they won't ban any of those and will ban other accounts for no reason. do not try and grow or post on this app they're terrible and do not care about you.",1,2025-07-29 19:47:01,Google Play,NEGATIVE,-0.9996789693832397,"['this app', 'my account', 'community guidelines', 'no other reasons', 'no flagged posts', 'no flagged comments', 'no flagged dms', 'reports', 'community guidelines', 'porn bots', 'death cam reels', 'racial comments', 'other accounts', 'no reason', 'this app']"
its mosyly leggg there is no smothness in using,1,2025-07-29 19:46:40,Google Play,NEGATIVE,-0.9731274843215942,"['its mosyly leggg', 'no smothness']"
super,5,2025-07-29 19:46:07,Google Play,POSITIVE,0.998783528804779,['super']
"me jitni bhi instgram id bana raha hu apne mobile se vo sari suspende ho rahi he or jo mere men id thi vo bhi suspende hogai I hate instgram, no interest",1,2025-07-29 19:45:48,Google Play,NEGATIVE,-0.9995492100715637,"['jitni', 'bhi instgram', 'd bana raha hu', 'apne mobile se', 'sari suspende ho rahi', 'jo mere men', 'instgram']"
"This app has become so glitchy! Every time I try to post, something goes wrong. I've had to completely restart my phone and re-download this app every day for the past 2 weeks. It's so frustrating! If you don't already use this app for your business, don't bother. It's not worth the constant headache.",1,2025-07-29 19:45:36,Google Play,NEGATIVE,-0.9997182488441467,"['this app', 'my phone', 'this app', 'the past 2 weeks', 'this app', 'your business', 'the constant headache']"
bhai meri reel par veiw Kyo nhi aate,5,2025-07-29 19:44:46,Google Play,NEGATIVE,-0.8311284780502319,"['bhai meri', 'par veiw kyo nhi aate']"
nice app,5,2025-07-29 19:43:59,Google Play,POSITIVE,0.9998061060905457,['nice app']
very good,5,2025-07-29 19:43:53,Google Play,POSITIVE,0.9998520612716675,[]
Great features,5,2025-07-29 19:42:49,Google Play,POSITIVE,0.9998708963394165,['great features']
my id's all suspend but why what is problim,2,2025-07-29 19:42:47,Google Play,NEGATIVE,-0.9970746040344238,"['my id', 'problim']"
this app is very nice,5,2025-07-29 19:42:43,Google Play,POSITIVE,0.9998353719711304,['this app']
good,5,2025-07-29 19:42:18,Google Play,POSITIVE,0.9998161196708679,[]
my best app,5,2025-07-29 19:41:10,Google Play,POSITIVE,0.9997714161872864,['my best app']
good,5,2025-07-29 19:41:06,Google Play,POSITIVE,0.9998161196708679,[]
sup 🤗👌👌👌👍,5,2025-07-29 19:38:55,Google Play,NEGATIVE,-0.8662971258163452,['sup 🤗']
nice,5,2025-07-29 19:38:16,Google Play,POSITIVE,0.9998552799224854,[]
thank you so much Insta 😁,5,2025-07-29 19:37:26,Google Play,POSITIVE,0.9997877478599548,['so much insta']
best app,3,2025-07-29 19:37:04,Google Play,POSITIVE,0.999686598777771,['best app']
best app,5,2025-07-29 19:36:29,Google Play,POSITIVE,0.999686598777771,['best app']
cool,5,2025-07-29 19:36:00,Google Play,POSITIVE,0.9998509883880615,[]
I love Instagram app,5,2025-07-29 19:35:11,Google Play,POSITIVE,0.9989966750144958,['instagram app']
👍,5,2025-07-29 19:35:01,Google Play,NEGATIVE,-0.6970566511154175,[]
best,5,2025-07-29 19:34:53,Google Play,POSITIVE,0.9997941851615906,[]
Great app nothing to complain about 🙌,5,2025-07-29 19:34:34,Google Play,POSITIVE,0.9981756210327148,[]
total distraction from studies...,1,2025-07-29 19:31:58,Google Play,NEGATIVE,-0.9794923067092896,"['total distraction', 'studies']"
why are you remove my id 😡 my id name is shahid__khan_0001,1,2025-07-29 19:31:53,Google Play,NEGATIVE,-0.9976996779441833,"['my i', 'my id name', 'shahid__khan_0001']"
This is very nice app💕💕💕💕,5,2025-07-29 19:31:20,Google Play,POSITIVE,0.999854564666748,['very nice app']
❤️,5,2025-07-29 19:31:00,Google Play,NEGATIVE,-0.6970566511154175,[]
its awesome app I appreciate you,5,2025-07-29 19:30:59,Google Play,POSITIVE,0.9998658895492554,[]
please add auto scroll features,4,2025-07-29 19:30:30,Google Play,POSITIVE,0.9973581433296204,['auto scroll']
bad,1,2025-07-29 19:30:28,Google Play,NEGATIVE,-0.999782383441925,[]
good,5,2025-07-29 19:30:26,Google Play,POSITIVE,0.9998161196708679,[]
बूस्ट माय वीडियो,5,2025-07-29 19:30:15,Google Play,POSITIVE,0.5386195778846741,"['बूस्ट माय', 'वीडियो']"
ok ok,4,2025-07-29 19:29:51,Google Play,POSITIVE,0.9997230172157288,[]
very good app,5,2025-07-29 19:29:13,Google Play,POSITIVE,0.9998675584793091,['very good app']
A very thrilling app!,5,2025-07-29 19:28:47,Google Play,POSITIVE,0.9998664855957031,['a very thrilling app']
good,5,2025-07-29 19:28:29,Google Play,POSITIVE,0.9998161196708679,[]
Nice,5,2025-07-29 19:28:22,Google Play,POSITIVE,0.9998552799224854,[]
Nice 👏👏👏,5,2025-07-29 19:28:19,Google Play,POSITIVE,0.9998424053192139,['nice 👏👏👏']
plz my instagram reel view,5,2025-07-29 19:27:29,Google Play,NEGATIVE,-0.9752121567726135,['my instagram reel view']
good,5,2025-07-29 19:27:20,Google Play,POSITIVE,0.9998161196708679,[]
"there must be a mistake my account is blocked and also unable to open any other account, when I create, looks like someone else was using, kindly help me login to my account",1,2025-07-29 19:25:59,Google Play,NEGATIVE,-0.9997381567955017,"['a mistake', 'my account', 'any other account', 'my account']"
great,5,2025-07-29 19:25:27,Google Play,POSITIVE,0.9998630285263062,[]
this is best AAP but request in my video boost,5,2025-07-29 19:25:15,Google Play,NEGATIVE,-0.8754675388336182,"['best aap', 'request', 'my video boost']"
worst app,1,2025-07-29 19:25:11,Google Play,NEGATIVE,-0.9997863173484802,['worst app']
formal,5,2025-07-29 19:24:58,Google Play,POSITIVE,0.9985602498054504,[]
nice aap ✨🤌🏻💐,5,2025-07-29 19:24:16,Google Play,POSITIVE,0.9996963739395142,['nice aap ✨🤌🏻']
amazing,5,2025-07-29 19:24:04,Google Play,POSITIVE,0.999875545501709,[]
Awesome ❤️,5,2025-07-29 19:23:56,Google Play,POSITIVE,0.9998607635498047,[]
i enjaoy the space,5,2025-07-29 19:23:44,Google Play,POSITIVE,0.9951935410499573,['the space']
