reviewId,content,score
2abb755c-c4bf-447d-aadf-800f8b561346,"Very smart 👍👊 cool 🤣 🤪😂🤔❤️😅🥳sxx👍xxzzxz🥳🤔🙏😀xx😭😜x🔥🤑🤓😍x🤗😋🫠👍,, and 🤔😭🥹😎👌",5
0750f397-bd4d-4104-927b-b31707842313,wowwowwin,5
4d76eb4f-3fbf-4f0e-ab78-f16444279a12,I ❤️💐💐💐💐 ....,5
8d0f97eb-0f6c-4c03-aa01-abccdb34e7f2,❤💞💞💞💞🌟🌟♥️,5
abe66da4-8f52-4566-9750-e43dabe9996d,Good Good Good Good Good Good,5
c6cf6f57-72df-4ca6-b0f5-7af420537183,Happy,5
98ad07b3-dda1-4e4a-b5e9-081a3f9175c8,beautiful,5
500d4d1e-8549-4219-b7f5-493d890ac33a,Fab,5
422abbf8-5f15-4fb6-87e7-cd4cfc409720,Niccceeeeooolllss,5
a6945830-daf0-4a46-92e9-02873dc5511d,"I like the gameplay Even though i always lose on Nightmare Difficulty,",5
02f8b1b2-dd1b-4ba7-8fe9-57753de998e6,"game is totally crashed, no extra boosters / lives/ ads option not coming since more than a month, the developers are not looking into this matter which is very upsetting, we play the game but u people have spoiled all the features by not appearing, is there any sensible person to look into this matter & fix it ASAP?????????????????????????????????????????????????????????",1
ec7aad05-fa78-4438-a381-cc93aa049041,fun,5
d95fb012-f047-45af-ac07-f7c334601cda,"this a a old company games® so learning mind scene and professional. Great, Beautiful, (Features & Functions) and the Day.",4
26e91f95-6534-4d4a-ae71-fddc8ed9964f,MF-king. Too many hard levels😡😡,1
0ec95245-fd23-4791-840b-e66e8af61609,very very bad 😞😞 this gam,1
a423096b-7cec-46a1-8dd4-7d97295b9433,👍,4
2fb15577-8787-472b-ae5a-1bbda63e9165,nice,5
f108bda0-4b0c-4eb5-86c6-96b3a79985da,Can't stop playing update still love this game!,5
f846bd83-ad75-49ec-9c89-a57b42cb2b83,great,5
6e3090e8-dfca-46ef-939a-d6891a85f13c,good,5
339ff744-4784-401f-a300-f134856073e2,excellently good,5
06033d20-3437-4d8f-98c5-46a00f8bfda8,Good,5
ce85b14d-1cb4-4095-8793-589b00f0d1b2,it's very fun offline game,5
a3e84c9e-e9f8-475c-88fc-4c0e88e440a2,❤❤❤ fun. Relaxing way to unwind,5
53994412-1ec5-40bc-bbc6-9d2264dd2064,beat game,5
86981235-33b9-43d8-ae15-f37b2d0c7359,very fun.,5
f3e62241-aaac-40fc-8305-bfd07ef6daeb,so good,5
3571e871-5829-4722-9026-b0d6313f577d,OMG!!!! You people are absolutely terrible!,1
f2ebe3e6-0a61-4876-b9dc-ed30ded6e8bb,I love it is very nice,5
adf75b7a-3496-4048-b133-ef8d860bfe5c,I love it 🤩💖,5
5982f1fe-a96e-47ed-ba4e-ba04aee661ac,Great game alot of fun,5
af9b3898-1936-4bae-8ab3-980743faabba,💯,5
3d464c7a-3660-4c75-84f6-f770f863933d,fun game,5
c85613d7-9c6d-48c0-b796-768209d8a87a,love y'all,5
