review,rating,date,source,sentiment_label,sentiment_score,topics,emotion,aspect_sentiments,category
always takes awhile to load.,3,2025-08-04 11:01:38,Google Play,NEGATIVE,-0.993046224117279,[],neutral,{},review
thank for anime,5,2025-08-04 10:31:08,Google Play,POSITIVE,0.9997947812080383,['anime'],joy,{'anime': 'Positive'},review
😵‍💫😵‍💫,1,2025-08-04 10:24:23,Google Play,NEGATIVE,-0.6970566511154175,['😵\u200d💫😵\u200d💫'],neutral,{'😵\u200d💫😵\u200d💫': 'Positive'},review
aging in no,5,2025-08-04 10:18:13,Google Play,NEGATIVE,-0.9971342086791992,[],sadness,{},review
"terrible servers, streaming lags every 30 seconds, been like this for years",1,2025-08-04 10:08:55,Google Play,NEGATIVE,-0.9991514682769775,"['terrible servers', 'streaming', 'years']",fear,"{'terrible servers': 'Negative', 'streaming': 'Negative', 'years': 'Negative'}",review
maja aar,5,2025-08-04 09:57:46,Google Play,NEGATIVE,-0.992953360080719,[],neutral,{},review
"5 stars because I got 7 days free trial card of annual mega fan I'm from Bolocboloc, Barili, Cebu Philippines 🇵🇭",5,2025-08-04 09:54:16,Google Play,POSITIVE,0.8080015182495117,"['7 days free trial card', 'annual mega fan', 'bolocboloc', 'barili', 'cebu']",joy,"{'7 days free trial card': 'Positive', 'annual mega fan': 'Neutral', 'bolocboloc': 'Neutral', 'barili': 'Neutral', 'cebu': 'Neutral'}",review
Love Anime so ofc I Love This App but I wish that thay would add more English dubs. that is my only problem but over all great app with many many anime.,5,2025-08-04 09:53:32,Google Play,POSITIVE,0.9949175119400024,"['this app', 'thay', 'more english dubs', 'my only problem', 'all great app', 'many many anime']",sadness,"{'this app': 'Positive', 'thay': 'Positive', 'more english dubs': 'Negative', 'my only problem': 'Positive', 'all great app': 'Positive', 'many many anime': 'Positive'}",bug_report
I like using crunchyroll but I suggest to increase number of anime in Hindi dub,4,2025-08-04 09:42:41,Google Play,POSITIVE,0.9667485952377319,"['crunchyroll', 'number', 'anime', 'hindi']",joy,"{'crunchyroll': 'Positive', 'number': 'Neutral', 'anime': 'Neutral', 'hindi': 'Neutral'}",review
"I like the price and no commercials, wide selection, and searchability.",5,2025-08-04 09:33:17,Google Play,POSITIVE,0.9165611863136292,"['the price', 'no commercials', 'wide selection', 'searchability']",joy,"{'the price': 'Positive', 'no commercials': 'Neutral', 'wide selection': 'Positive', 'searchability': 'Positive'}",review
🌹🌹NADEEM 786 🌹🌹⭐🌹🏆🌹,5,2025-08-04 09:29:10,Google Play,NEGATIVE,-0.8390378952026367,[],neutral,{},review
Great streaming platform.,5,2025-08-04 09:24:07,Google Play,POSITIVE,0.9998644590377808,['great streaming platform'],joy,{'great streaming platform': 'Positive'},review
good,4,2025-08-04 09:07:51,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
make more hindi dubbed series,4,2025-08-04 08:56:31,Google Play,NEGATIVE,-0.9927127957344055,['more hindi dubbed series'],neutral,{'more hindi dubbed series': 'Positive'},review
dragon ball super not in hindi dubbed please fix fast,2,2025-08-04 08:51:07,Google Play,NEGATIVE,-0.9718906879425049,"['dragon ball', 'hindi']",neutral,"{'dragon ball': 'Negative', 'hindi': 'Negative'}",bug_report
love the app and it is cheap,5,2025-08-04 08:36:23,Google Play,NEGATIVE,-0.9755159616470337,['the app'],joy,{'the app': 'Positive'},review
I love it most of Anime....,5,2025-08-04 08:08:31,Google Play,POSITIVE,0.9998643398284912,['anime'],joy,{'anime': 'Positive'},review
i love anime,5,2025-08-04 07:59:28,Google Play,POSITIVE,0.9995185136795044,[],joy,{},review
"I would've hoped creating account would be easier, I had to use a non-existent gmail just to create an account. But overall the content of this anime app is amazing! I'm currently watching Frieren for IDV's crossover soon!",5,2025-08-04 07:57:30,Google Play,POSITIVE,0.9995152950286865,"['account', 'a non-existent gmail', 'an account', 'overall the content', 'this anime app', 'frieren', ""idv's crossover""]",surprise,"{'account': 'Negative', 'a non-existent gmail': 'Negative', 'an account': 'Negative', 'overall the content': 'Positive', 'this anime app': 'Positive', 'frieren': 'Neutral', ""idv's crossover"": 'Neutral'}",review
that is great but I wish I had real uncensored stuffand more of itcuz the people paying for premium are adults anyway,4,2025-08-04 07:40:22,Google Play,NEGATIVE,-0.9953213334083557,"['itcuz', 'the people', 'premium', 'adults']",sadness,"{'itcuz': 'Positive', 'the people': 'Positive', 'premium': 'Neutral', 'adults': 'Neutral'}",feature_request
I can watch my favourite childhood moments again thank you crunchyroll,5,2025-08-04 07:05:08,Google Play,POSITIVE,0.9996989965438843,['my favourite childhood moments'],joy,{'my favourite childhood moments': 'Positive'},review
this prompt to rate the app popped up in the middle of the show.,1,2025-08-04 06:32:27,Google Play,NEGATIVE,-0.9936100840568542,"['this prompt', 'the app', 'the middle', 'the show']",neutral,"{'this prompt': 'Negative', 'the app': 'Neutral', 'the middle': 'Neutral', 'the show': 'Neutral'}",review
"can watch all my favorite animes in one app and others I can't find on other apps, I love it",5,2025-08-04 06:31:31,Google Play,POSITIVE,0.9997460246086121,"['all my favorite animes', 'one app', 'other apps']",joy,"{'all my favorite animes': 'Positive', 'one app': 'Positive', 'other apps': 'Positive'}",review
I'll be more than happy to give y'all five star if you had more stuff in English. dub,3,2025-08-04 06:12:53,Google Play,POSITIVE,0.9984190464019775,"['all five star', 'more stuff', 'english']",joy,"{'all five star': 'Positive', 'more stuff': 'Negative', 'english': 'Neutral'}",review
I love it has most of my favorite animes but it could have more,5,2025-08-04 05:01:40,Google Play,POSITIVE,0.9926409125328064,['my favorite animes'],joy,{'my favorite animes': 'Positive'},review
very good app I can just chill in my bed and watch stuff,5,2025-08-04 04:52:15,Google Play,POSITIVE,0.9997966885566711,"['my bed', 'stuff']",joy,"{'my bed': 'Positive', 'stuff': 'Positive'}",review
I love armin,5,2025-08-04 04:45:56,Google Play,POSITIVE,0.9998420476913452,['armin'],joy,{'armin': 'Positive'},review
"we need all anime in hindi language,,,, specially black clover and one piece ,,,,,,😮‍💨😮‍💨😮‍💨😡😡😡",1,2025-08-04 04:25:14,Google Play,NEGATIVE,-0.9869749546051025,"['all anime', 'hindi language', 'specially black clover', 'one piece', '💨😮\u200d💨😮\u200d']",neutral,"{'all anime': 'Positive', 'hindi language': 'Positive', 'specially black clover': 'Positive', 'one piece': 'Positive', '💨😮\u200d💨😮\u200d': 'Positive'}",review
