reviewId,content,score
bfd45a6f-4f9b-4a4d-b46d-04f7684f7f2a,it's all right,4
6b67d036-fd98-4936-bd1c-5cc02e81b1ae,it helps me to study distance learning,5
d84629b2-b301-4767-b4e0-ef8e7160cec1,super,5
a4d851fd-4e8d-42b9-9cf1-ffb3d35614ec,good app,5
5640741a-d000-4daa-8f7a-c77a4fe594bc,good,5
4c368165-8ce9-4f9a-b972-96896ede58b3,di maka send,2
d0fe0e62-863e-48dd-a2f7-4beb410261bd,ok,5
87415eb6-1f3a-491f-a074-5b6824bbbd5f,The end-to-end encryption is annoying,3
a4feb5ca-eaba-4d8d-bbf5-dd80033b810a,"a lot of bugs, sometimes I can't send messages it will just say sending and I need to restart it just to worrk again",1
d717ed24-bec5-4a41-8b77-06f224998568,good,5
9dd98a5e-9ba8-40f1-8535-f3d41857b8a5,So useful ...,5
580a9552-bab3-4e7a-9e9e-ac7e384b0d49,Very good work app,5
05cf05a8-c1a8-47dd-9507-bd6e82f326c1,Good,5
cb1cca66-63d3-4240-9e05-146ddea0964d,leave 1 star for possible improvement,4
33939581-9e38-4d11-b79e-402a5731e7a1,I always being have fun with my friend,5
b0413bad-ba09-441b-bb0a-b96809a2fbfd,good excellent,5
19dcd4d9-f616-4008-bba6-992dfdb01a52,good,3
4620f190-9238-46f9-a860-14cdda654cca,good,5
f4bfb2ff-6f75-456e-bf19-d3c3b7fa3eea,good,5
79f8157f-46a5-46a6-a33e-4a44a40432f9,ok,5
7823f8f1-16ac-42b7-8b0f-765482a4a603,"my messenger can seem to send messages even on wifi, while the main fb app is working fine..",1
1923479d-b91c-405e-b19f-8ac9bacc802c,I love this app🤍🤍🤍🤍,5
ebe53416-e45b-49e7-a569-8e7f85fbaf9c,elo,5
55bb8a44-d817-42d2-b207-46316d5098c8,very good for the communication Every day thanks for the messenger app I love it,5
df3c231d-91fa-4fce-9a09-0d1d9d1d487e,awesome,5
f5bd500b-eda3-4cf8-bab7-9d490996bef9,it has been glitching lately.,1
0e07952d-71fd-40b0-8dad-574aa210cd20,excellent,5
e76ba789-d3a8-4918-b2b8-c5caf9d1a412,Good...,5
e1c610ba-a472-471e-a59c-335c39ba7ba8,sanjeet kumar,5
353fba4c-b461-4b17-bbd8-c8df748b78a5,always not sending my message 😒,1
11ef301c-ffdf-4fb3-a474-064906f8999e,S L Hasib,5
20b864fa-47f7-4b95-8178-726b6cbfa0ca,super buggy i can never search for stuff in any conversation without the entire app shutting down,1
c70d7323-77d8-42f4-9b58-2861e3e4c4fc,theeee beeeesssstttt,5
7d92ee6d-3c83-400f-a49d-60f91e89f4b1,this beast app evear,5
aa78fe1b-9c23-426b-8bf0-c2183340add3,nice 👌,5
3b3817f6-e20c-419c-b4a0-8d215a556901,"viewing shared photos and search conversations are difficult with the new update, please bring back the old messenger where I can easily view shared photos without scrolling backwards on the conversation! so much time wasted just for scrolling it all backwards!",1
d396455e-136d-433d-807c-379b3c93b044,Hello! I couldn't open my messages. It was always said update your messenger. When it was updated nothing happened same as usual. What is the problem of my messenger.,4
bceb041d-2cd4-4c70-9cd6-ed61ab3dbecf,Why are messages not being sent on Messenger apps? The network connection is causing a lot of problems.,5
4926fecf-1c02-463a-894e-1ab549cb96ad,does this app no have notes,1
73ec8dc0-fbd9-46e7-8395-4757f5738ca0,best,5
664f93e9-4c6a-4638-9627-c85e3a0d1638,puro sending chats ko,2
dfe3ee77-dcf5-4f3b-8396-33f15ffd977e,bad bad bad,1
92ce74df-1a95-439f-95c0-ec43c4b74c1a,awesome 👍👍👍,5
66b21c61-21ac-49cc-b722-4753e026dcd0,excellent service,5
901cb5ef-9812-45cc-b955-f6227435cd3b,good i give 5 stars,5
49f881e2-3b9b-4b60-a7f9-3a0d829f9aae,sylviawashington,5
6884ba40-5c74-4af5-aff7-bc4a4e3c8792,great service.,5
41da2237-69c7-44aa-8a02-44da0a3377b5,ok to use nice and easy,5
10334120-df20-47ec-8e0b-5040d146293a,"Ok, yes, understood. I can pin favourite messages. Now stop reminding me!",1
317409fc-a8d0-4a7b-9d63-c0d731c8bf00,"can't send messages, can't send vm. Doesn't make sense at all. Fix this!",2
79817418-f0c6-4fda-9690-211181c9b9ae,when I message it won't send it will just say sending but when call it's fine,2
71c0f08b-9bd5-4970-887e-9866944c8ff6,"i can't message anyone, my message didn't send its just keep loading",2
e9faa1bb-105c-4f13-9549-489a0c103a21,Excellent,5
966d4c6e-04c5-4d8b-8b52-aa87a5e5245b,mise a jour application,5
e8cdb548-e6bd-4d64-97f8-89136e7d0dea,"I dont know what happened messenger was completely fine but now I can't switch between my business and personal app, I also can not send messages, I also get messages doubled up when people message me (doesn't matter i can't reply), I can't send anything. The only time I can send something is if I reset my phone or re download the app but im not doing everytime I need to send a message. I also wont receive notifications that people have sent me messages until I actually click into the app.",2
1ae0d3ec-07a3-4fb3-99fe-86bd5849587e,Keeps crashing,1
c75c4b4a-1888-471e-9123-fde75056882c,"there is an issue where if I get a call from a group chat, for some reason on my Galaxy watch 5 it shows up as a wierd long phone number trying to call me on my watch instead of showing the names of the people on the group chat.",2
2713468d-3433-42aa-8aa6-9af5a9ccf7af,👍,4
9f4bac04-d6bb-4f30-88e7-ec45fa7f3296,bat naga network stanle,5
cdabafd3-7cbd-4972-8d8a-49b1b2ad4574,Great video call .,4
02850d42-4c84-4a4c-9e5c-79b464a2423b,uneasy like before,2
345d7e4e-d366-4e7d-9feb-5b6f9e747907,good Network,5
fdd156ac-6f4e-4d89-93db-20e9c62d3d00,it. was. a. good. call,5
da403998-8f10-465b-bff7-6f9f33b7cbfc,Enjoy the programs and pray other people can get the message you send.,5
5a5e1d83-46ed-4730-9f6f-0cd5fd5f680b,"I ii W6 uyy yzAZ drsx s eee d see r,zz",4
4cafcce5-6998-4509-b90c-c2f8fdf2ed37,good apps,5
e3bf1e4d-bd74-4620-aa24-e5b31a7cb516,nice,5
4fd3e806-064d-4e6c-b24b-cc39edd0c4f5,gud.mornig.dost.aap.kyse.ho.ummid.hi.aap.khyriyat.se.hongi.kya.aap.mujhse.dosti.karogI.my.aap.ka.best.frind.sAbita.ho.sakta.hun.na.mano.to.ajma.kedekh.lo.,5
45d123bd-6365-4e47-a48e-a6ab4457ae5b,good i 🤔 think..,4
61575eb9-c4f9-4f56-9309-bd0dbef672f1,Good,4
bb5e5ffe-56f0-4e7e-9234-d2a10a6de2a0,"App constantly crashing /hanging and saying its sending, when you shake the app to report a problem it. It won't send. Extremely frustrating as it makes the app essentially useless.",1
0c8ec477-108f-49df-8e33-3790c9a4b845,good app,5
3924f03c-b771-4508-83d5-8f7eff9b5a51,nine,5
3e48a191-98af-4293-b4fc-4e629b08b3c4,all good,5
dca2e332-cbdb-4f10-8ec0-9a0cc91ac1cd,positive,5
454c79f5-b5a3-45eb-af4f-6cc62883b32e,can nit send messages even internet is available.hindi magamit in time of needs,1
c2f3e7de-d386-4c0b-88be-86e37ac80343,chole,1
866ae2a3-b5b6-401a-8b75-c3f3ab61f0c2,Notification explaining that you can now pin conversations keeps appearing. This is incredibly annoying.,1
5a924008-a25a-4362-858d-dd89ba4c2cfa,"The constant crashes and glitches in Messenger's chat, voice, and video features ruin the user experience. Please Fix it. You need to Uninstall and install again and agad. WHAT A JOKE🤦🏻",1
03e8ba72-1612-4322-87c8-4c70cd56e934,like,5
dc5ba808-cbd2-486a-80b0-1805e4cc1b37,Hate it. Now I have to open the app every time I want to find messages. previously on the Web they were ready to see.,1
5f364ee6-9291-48b8-927e-1e9c9089409e,no good,3
68243ea2-17f8-42c0-a46a-1d8150f45b06,great,5
2bb8756c-aee8-49a9-b1f7-fc2b4abb0f65,nice 👍🙂🙂,5
caf8a95d-88db-4c81-b06a-e21a69a35938,never works properly . have to delete app and re-download every few months,1
41ef63ca-329a-4fe6-9375-1f36521fc5e6,no penalties 🇵🇦,5
b70a4534-5b8c-4ca1-ae1a-04fc79f0ce66,I can talk Gud,5
5fddced2-a29b-4975-845a-98e569da9dc4,good and clear,5
612e48cb-c81b-49a4-86c5-9be09e3f4f4c,"Used to be reliable but now messages are stuck on sending and never send. I have tried everything. Reinstalling app, clearing caches and data, restarting phone etc. The only thing that works is forcing the app to stop and then retyping your message. Only works for a short time though. Please fix!",1
acf54032-3f93-4f0f-a66f-075e9bd0d1a9,I love messenger it is so easy to talk with my friends and family 😁😄,5
2a417064-1631-48ef-9060-5d3a8312eb3f,Miss the old Messenger.,2
7ab9c071-4aeb-443f-b2fe-a5a54cd9bcb5,terrible,1
6badaad8-53d4-406f-8189-0a19d1cfac3e,nice and eassy to use,4
e45eae8e-23f7-4af3-8a33-4c38f41b5209,good,5
8e4804d9-f852-4cc9-9431-80d020ffc9fc,I can't use the emojis I want! No way to set settings easily to STOP emoji line from popping up on text one is trying to read!,3
9a915dbf-796a-40d5-8018-37c214883da4,old messenger,5
28e8b036-5da0-4769-a278-d13f6ea3164a,hay mija que Linda pareja ya quisieta tener una igual para mi y no aentirme Sola y sin ganas de nada vivo porque ASI ea la vida pero sino no. felicidades mi Chula,5
a7f58b65-0395-415f-9b91-ab16322a7079,sometimes log,1
f41a3d23-7878-4fea-a350-3a28897f7822,Sorry app says I can't use it cause I don't meet your standards,1
e2b3c659-a46a-4d4b-9dff-2db9677b4217,Messenger is sending notifications 2x for the same message since the last update. It's irritating.,2
f38c8b83-8240-41d1-9da8-c85469dab157,Best always fast to communicate anywhere globalwide👌,5
26ba764d-b77b-43a5-b835-16cf5c92ff0f,mensager,3
3a359c36-d1ed-45b0-8b63-eaa1d7b73568,thank y'all,5
4158ba84-f090-46f2-9377-dc492edd13cd,"I got an excellent data connection but when I send a message to someone, it won't finish sending.",1
5744cddf-9e6e-4393-900f-60ff37fca35e,nice application,5
e3811d50-14e0-474e-8dd1-99ef55695dbe,not good messages show sent then never send and I'm getting them hours later then people send them,1
2015ddc3-ea5e-4242-a91c-beec13cb59b0,Bugs in sending messaged,2
82ae36cd-80e5-4d61-abfb-0de0a517d36d,"I was never a fan of the app separate from Facebook. I tried it when it was an ""option"" and quickly deleted it. eventually, it became mandatory. It was going ok for a while, but then glitches started happening. Now I have trouble just getting a message to go through! it says sent, but not received. this has been happening for weeks, but more so today. I am sitting in my living room, five feet from my router. someone, fix this!!!",2
91ab5627-b87d-4300-a8ad-613d1985eed9,"can you just let it update without erasing some message and show up message last MARCH 28,2024 .. because there's some message AS TODAY that we need, but unfortunately because of this END TO END ENCRYPTED OR WHAT SO EVER its was gone i got nowhere to find it .. ITS SO DISTURBING AND ANNOYING UPDATING MESSENGER NOWADAYS ..",1
f76b4371-23da-4867-aaad-a4bf287b31ed,it works as good as a phone line I suppose n keeps a person highly socialized if that's what they're looking for. personally when I can't reach someone's phone number I call them on messenger and usually I always get through.,5
12f7847e-e005-4e17-8e1f-c37c0e3c8759,nice this apps im appreciate,5
b7fd5d53-01cf-4584-82aa-428a919438de,Cool video quality needs improvement,4
f205b968-e5ee-417e-b80a-d70581bf589e,"I don't know what update happened with the app, but I'm getting tired of this constant pop-up telling me about pinning conversations. Fix it please. Google Pixel 7 Pro, latest update.",2
286ee3bb-7c42-453f-a8b1-fd03dbc24187,nice,5
eb3d1ea0-2d1a-40c7-9e68-d9677210376a,Received the information Ang feedback,3
35ac18ac-8ac5-4bcf-9bba-737e4808d957,awesome,5
b174a54a-3869-4317-9a7b-acd05ddba259,love this app face time everybody,5
76d05416-4eff-4bdf-b147-070a6d540698,Upload,1
1c92590d-c9bd-412e-9d8a-daffdad5d0e9,How,1
c52ce1f3-a06c-49ff-a03c-b663f9da7b1f,it is not sending me any codes on whatsapp like they said ??,1
8f94227f-c935-4fe3-88f5-bce35b8b42d5,good,5
5668b449-5b27-42dd-a7ed-c258c44914ba,good app,5
b68bc645-7e02-4ad1-abbb-1d71b667c9c1,"Never trust anything from META! Time after time they're caught invading your network more than they claim, and more than whats okay. Scan my other machines on my network? Common! Pixel Code? Localhost vulnerability? What is this; the 83th time you're busted for shady stuff?",1
22e343fd-e0a6-4f31-beec-3cf9716d6e40,this Worked for me 💯 love it,5
65db9478-2a35-4295-b429-7691f4755897,"this app is terrible. Many times, when I try to send a message to someone, it shows sending but never delivers to that person despite having good internet. After that, I removed the app from recent task and opened the app again but it is still same. Pathetic!",1
683c07a0-6fc2-4980-ae7f-e814c6331c88,"If no work is done properly, an option has become a breeze when I get inside the ID",1
e4cebfde-d882-405e-b54c-0a372b1c5553,Great video to day you should try it.,5
571bd0b9-2150-4b50-bd15-4c9b40cc5042,My app for messager is not working why,5
ee2aa84d-4245-4c75-8806-4bf824104fbc,good,5
6fc64f5f-fab8-48e1-adce-b54a4a014922,Why is my messenger app not working?,5
2236743b-267d-4158-8ad7-b11e0ff91ce7,Excellent call. Great sound.,5
e6e672f5-157b-425d-927a-6148f5bfadfa,it has never failed. keep up the good work,5
6be4ff08-d317-43f1-89a4-0edf3b8d36e4,"I hate the update. I hate that I have to press at least 4 buttons now to send images, the old organizer was great, and I feel impeded by the new setup. I don't want my camera to open full screen when I want to only send an image from my gallery. I don't want to have to hit see more every time I want to select my albums just to send an image from a week ago. I didn't want to have to confirm the image I want sent 3 different times. I don't want to add captions. This app isn't social media. stop",1
b7960628-b58f-479e-b97d-b0ff14eef951,good,5
79ce3969-f7cf-48a0-8b4b-5e06d1da4c9d,very good,4
4a8affe4-9be7-4466-907b-dd26905bd64c,"I never had trouble with this app until I got my new Pixel 9 Pro xl. Now half of my messages aren't sent. I get a ""sending"" below my msg but never gets sent or delivered. Verizon store can't help and I'm so frustrated.",3
