reviewId,content,score
69500d66-e66a-4f05-93be-b987750cf559,bagus,5
1abade12-5de8-43c4-9617-5aee3e1776a4,I don't want to log in somewhere just for looking standart odt.,1
58268a02-6290-4270-8090-ef655e149fca,awesome 😎👍,5
60decbb9-8e76-4778-9d1e-7a3ae77364b9,it has helped me alot!! so eat to use.,5
655b51bc-fa17-4418-8686-6a6718cc387e,exceptional and helpful,4
15d1532f-be47-4035-ad74-9cea8fe24028,I just got no words to express my gratitudes,5
9a5a849c-4418-494f-9791-c75755680a64,"open app, keep saying its redirecting me to download full version then just brings me back to the open app page and we go through it over and over again.",1
292a3073-5247-4abd-9c74-0a870972f11a,Very good,4
e16fb542-15dd-46a8-8e36-af46b097728c,smooth l!,5
82a1c8ec-f7e0-4ee4-b0c1-004afbde3505,i like this app but sometimes may not open files Unless it connecte to internet 🛜,5
59d8403d-ced1-409e-8055-0c19f34195d5,good,5
85814b8c-3ebf-4800-a307-e426d4a16545,good,5
8fa6f179-9a9e-47ef-9303-0ec78a4e59a0,nice,5
f2b07d9c-6650-454a-a36f-7610412d3b4c,बहुत उम्दा एप्लीकेशन है,5
7817a972-c368-4f5f-9728-84f6d4dbec14,"Outstanding app, I'm happy with everything no complaints",5
45c024e2-98e1-4982-bee6-654380d0a754,it's quite good,5
97339651-4390-45c3-8441-e6ff08989a40,"I sign up only for once and it said too many request, WHAT????? L app",1
47054370-5d54-4622-b28f-9f6713c89b7e,quick and convenient,5
bbd03b80-a619-4ea9-b0f1-93b098ad225d,"No longer lets you just open your documents, always desperate to force you to accept the AI bs and the ""Microsoft Experience"" Like hey, mayyybe if I have THIS APP, it may be that I wanna use THIS APP andnot your AI garbage",1
4dd86083-ee79-4dd5-a999-fcd398fd6357,"No free version for tablets. Seriously, paying a membership for a writting app when you have free options like google docs doesn´t have any sense. I wouldn´t have any problem paying for a lifetime license, but a membership for a text editor???",1
77ec6530-e566-43d6-b561-73dfdd9849b9,💖⏳📈,5
742dc420-174c-424e-b361-b9c68c978244,"Love M365 in my phone, very practical",5
a9cf19c1-9d2a-4cdb-9289-c2984b869036,very important to me,3
91aa8135-1267-4224-974c-6722f090fc90,best,5
dfb03b3c-67f0-4297-b3df-bdc29986669b,easy to use,4
0ab2e37a-a794-4402-adf7-0393ba9d9896,excellent,5
fcd0eb9b-4696-42fe-a720-1e8b7dffac8c,very bad😭😭😭😭,1
c1b1883e-ea22-4a79-9dfe-2367a64d9ca6,Good app,5
b5fab387-2829-435a-8451-2fd47e95d2d1,good,4
872242a1-10ee-41af-95e2-918b73683634,good,5
555cb676-db11-4f2e-854a-3892866ee30e,it's superb..,5
6727124e-22ad-4948-b06d-b1cc583662de,excellent,5
09a55d82-779c-436a-8bbc-6a7204b3968b,very nice,5
3bda6f45-c3db-46ee-90c3-33f27f79212a,good,5
1e4873cc-14cc-4e89-a4d8-96507595a950,A very good App.,5
1960faa5-7db0-4aa2-98cf-3a95a5577bdb,great,5
c25fd0a8-0e3b-4b4a-8da5-3baaba70ae96,good 👍,4
5ab4eb0a-fe60-4d27-8602-e149815d35aa,easy as pie,5
fab3b5a8-27e5-4fb2-835c-8f42ffdf90f8,Damn right,4
09be40a0-8e41-4c44-ae38-342a3a7182a3,my file isn't showing up in my documents 😢 why? please resolve the problem. otherwise it's nice app,5
b4259ff4-7c68-4e81-af4d-cede5df19566,Good,5
10f33141-313b-49bb-91f0-8c40fa6fd232,This Is Best Word App In the world.,5
ae921649-5a09-4b7e-ac71-a09e8c7fdc50,since I downloaded it am not able to open it.its not launching,1
0c713bd7-eedc-414e-b14f-7cc7a89ff36e,nyc app,5
0cc7e05a-f2d6-4830-928c-905b479d6105,it's great,5
4456c9fc-fa0a-4420-a87d-8a82a9bc13a4,"It's good to use, i don't need to edit on my laptop anymore",5
2ebfd7a7-4a26-4e33-9724-0b62df3cd946,Better experience when it gets free😊,5
c570312f-b710-4f89-a47c-84fc220059a6,good 0,5
e10ffd7d-1ddb-4c0b-b7fb-64b64f8326c6,"this is the only app I've found that has the capacity to do things like italics and bold, but why can you only save documents as .docx? why not .odt or .rtf? why are there no options?",2
ed9772ca-0565-462a-b849-af489c6dc9b9,super wonderful ......5 star,5
afbe14c8-61ad-4fbd-9264-81e964a8a307,good,5
d57a956d-0161-44c7-9b85-9c41a09fc370,easy to work with,5
c1359ba8-aab8-499e-9aa1-89e9fb4cb424,Super,5
2551ca42-1b13-41b5-bf20-2d1785f54db6,all are good ...but I want borders feature too.,3
008522b7-dde3-45c3-b04b-a4a18b6cff14,Nice,5
84edb274-b30e-4010-bd23-ebfa07b30b38,Good working,5
4265624e-51ae-4a54-b2c4-d4ae90b56f62,fantastic,5
c35bb31d-2557-490f-bd5a-76477f6ec54a,a bit slow and glitchy but works decently and consistently fine,3
e3d4958a-9a85-4ec0-8a6b-7356c30c8b90,very good application 👍,5
b9f5963c-10d5-4a9e-b728-c71b6f790eeb,great App.. makes editing documents easy.,5
d3703ad5-4005-4a6f-b28c-1d822903568a,good,5
d451c07a-503a-4be9-ad4c-7c88555c710e,Excellent,5
068f24d2-6871-42b1-9b97-cc5a5e92ad3d,Good,4
f3fee013-fed5-48e0-aefe-d461736704ec,Good,5
c9c55152-2739-4ccb-ae8d-4f4b2fd12a84,Good,4
965fcec6-6527-443f-95bb-761caed27750,"This is a good thing, it's a big help, that's why all the students out there use it, 5 stars MSWord okay",5
ebfa59d4-a000-4c7b-a921-ed307f01a6fa,good,5
409cc2ca-5038-48bc-88ab-88a72168a510,need to download full version,1
9b8c6aa5-7c5c-4914-847d-175656f9e39d,Word mobile is very good on a tablet but I wish they could also include the referencing system.,5
d6609075-42dd-4d47-bd58-154f4bbea75d,"friendly app, easy accessible anyway for android tablet users",5
ba2705e8-174b-47ea-9deb-a3e5378151b1,great app,3
a6855784-1459-4526-8622-7c3a6fda8189,best app,5
96b3a1c1-f80a-4cf6-a0a4-3c3c1f956d43,it works find then suddenly I have to press the spacebar twice to register a spacing and now the backspace doesn't work. I am using Samsung Galaxy Tab S10 Ultra with keyboard cover. PLEASE FIX THE BUG ASAP,1
7ddb45fc-9d5a-42e1-880e-7e6aaf5b7273,👍,5
45f80874-187c-4c92-8d71-5472f0f08f8a,awesome 👍😎,5
50c1d456-32c5-49ec-b2ec-fc6959399158,nice,5
a0794cd3-7a6b-4b99-8905-c48112b8de5a,nice,4
4e118e90-1411-4168-b5b3-881a4a30ee7a,Works great so far for free simple and usable editor. Can also export PDF which is nice and read aloud is convenient too. Best of all no ads 👌🏽,5
f1b068d3-9615-4356-8e49-71ceb00ebd46,Best tool,5
4dc90f52-4bd5-456a-9054-6361d90b9ffc,gud,5
f57df9ad-6335-4dd2-b593-3c1bfed80b92,Great app..so l give her 5 stars 🌟,5
0a7d9f07-d19e-44d2-8bcc-5d110beef8f4,Word is easy to use and it helps me a lot with spelling. Word should have more templates,5
b172ee0c-0bea-4516-8e64-0c4f25882d18,perfect for today's world,5
9943dabf-a150-4a0d-b752-9dcf27713e4a,good,4
b7ed1d2d-106e-435f-8eec-d1f1e0f88d1a,Love it wayyyyy better than google docs,5
89eb85cd-f669-41fa-a8a5-409c77826a6a,overall best app,5
aa00b0bf-4413-4ccf-9d7c-38be5c324f82,good👍👍👍👍👍👍,5
55a8849b-dca3-4f36-bb93-f32e23afdd17,good,1
ed5a1e51-39c1-40a5-9552-3fcae322b6e4,"it's sound. easy to use, all is good !",5
72a4176c-394e-4621-8c2c-0cda8b32f5ab,"filled my computer with so much trash. I don't need to store all my pictures in Microsoft for my review. and every week, block my email with the loss of storage and even block my other email since there is so much garbage in my email mostly work of their Robot 🤖",1
1aa3381d-e69a-4f38-ac97-cf705ef27528,Perfect for my nerds,5
1da83f6b-0b02-42be-a4af-96e62d95b88d,I can't believe i pay for a productivity app that is super impossible to use. I'm not going to waste my time listing the issues. i am fed up. I will be unsubscribing from paying for this garbage as soon as I get my stuff off the Onecloud,1
4eb5564d-dc18-4cb3-9a25-428010662978,good,3
406ef156-a121-4dbf-bb31-3b9b8e1a8fda,works appropriated,5
6a994cb8-80f8-44d2-9894-71ed442473c0,Amazing,5
feb98882-ee83-478f-81cf-4cda6ce4bd6e,EXCELLENT WORD DOCUMENT & FAST DOWNLOAD,5
1b0b3d32-7817-48da-9f49-e5321b4eb6b0,nice,5
04fb1413-2871-4e0d-b1e0-fa11f5bd8cf7,its best,5
d4c42cfd-ebb5-4346-9144-d50828d42ebc,"it's vary helpful and it's time saving too,for Ms word we used to work in laptop or computer but this app is just amazing to use in android and other mobile phones..",5
0a5e1e73-a53b-4b18-8b00-498494932ab2,Best and user friendly,5
68351944-1441-4007-937d-d5f73cb14e6b,It's the best,5
7649d9a0-83af-4975-96e0-85e9064b3957,very helpful app ever,5
9254b2da-cb1b-4781-982c-ba2294858782,5 Stars from Hanif Jan Hassni,5
69528abe-9252-4249-b00a-1d0ac3589ac6,perfect app for smart brains,5
9af3e995-81aa-49c5-8791-4edf8c0cc825,"I use Miicrosoft Word everyday. Simply put, I love it.",5
