reviewId,content,score
cefe3741-9400-4672-b354-130124bf7163,This app is garbage Don't waste your time Customer service is terrible Another trashy App another trashy app This app is garbage 🗑 Like the rest garbage 🗑 Customer service is terrible Social app flush down the toilet The clowns 🤡 running this app are a joke on a good day O look Snapchat is a another garbage App just like Facebook and Twitter And X Snapchat no intelligence needed Dumer the better Snapchat customer service terrible Tik💩 & Insta💩 Face💩 no intelligence needed Snap💩 X💩X💩X💩.,1
18897080-5559-422d-b3fc-f8c206e4f432,Thanks for helping,1
85d5b4ac-7eb4-4603-9183-f75971b54a35,mast app hai yaar,5
1540e78c-c615-43c7-beb2-9fb7957267a0,ଦ୮୮୮୮2ତଦଦଦଦ,1
f3ceb61e-defe-43bc-9472-12dc2bad3800,excellent,5
5b612275-4647-4bb2-b532-c5a863fccecd,"Hilarious. I'm So proud. Im rating It 5 cause it deserves it or else I'm very clingy. It an Addiction babe! Spotlight Omg! It's so Impressive. Keep going. Shine, rise and Bring some more fun. one thing there are a lot Ads so please don't end the Perfection.",5
cf92a41b-0ac8-4340-97c3-05a778a2e18c,Randy ka Thakeh is said katakana hai,1
9359ab3c-4542-48a8-9b83-e126ec083641,over sexualized app,1
e568d5ce-38c7-48fd-9932-548d4c2c778d,ads as notifications now guys time to uninstall.,1
d89c9f5b-859e-4a06-803d-db8788840eac,nice apps,5
9ed1236d-0133-4c78-9636-43373e15c640,Khushi,5
eb4992b5-f90d-4ba4-aecc-c74ee5ae9849,User name: ChikoMontez,5
73d00b11-adb8-491d-af85-5b67b21df605,i like this app to much 😃,5
ce4bc8f0-0fc2-4580-947b-5a226b1246fe,"THIS APP PUSHES TEENAGE SEX ACCOUNTS AS THEIR ""DISCOVER"" YOU CAN HIT DONT SHOW AND REPORT THEYLL FIND NOTHING WRONG WITH THE NAKED TEENAGERS AS WELL AS CONTINUE TO SHOW YOU NEW SEX BASED ACCOUNTS WHEN YOU HIT NOT INTERESTED IN SEEING DAILY. ads are dating apps",1
aa15c29a-e16c-400f-97b2-d7bbc9561e26,ok,4
6f64964f-456f-4fa7-a51c-de8ad754bce2,I love you so much snapchat ❤❤,5
4f77d275-5b54-4e84-bfa0-4baa46e69425,Very good!,1
66c4fe86-e2c7-40ae-b892-475baa729f02,osmm!!!!!,5
407d2be2-5b65-4359-ae17-a6246f708aa5,I am,1
04a465b6-b987-4ce0-aa68-4057b06fe13e,not bad,5
6479facd-c16f-4fcf-bda4-94554e9d37cf,Excellent,5
3bb6167f-1ef3-4cab-94e9-adf1ccdc818e,to much snapchat ads when I'm using other apps and it's pissing me off bro😭😭😭👺👺👺,1
ff8056fc-3371-4f24-a654-1864a5f455f7,"if it takes more than 10 minutes to send a message with good service, there's a problem with the app. and this app has had the same problem for years, and the developer won't fix it. it's 2025 now. not 2010. fix it or be deleted",1
e3fee059-ca99-439c-9bdc-1271ab1ca950,lIove snapchat,1
971fde5a-91ba-425c-9734-408b520c9a95,you can call and to 1 the most thing I like is when my WI-FI go out I can watch short video for like 5 min that thank right,5
bd9e11fa-f132-4f8e-bcf2-6931f44b5c31,super,5
3c0d0c26-ed7d-4aff-bfb2-a5888b650b72,❤️☺️☺️,4
ac332017-70d2-4ed6-8ce1-ac2733214aa9,Instagram better 😂,1
6b1c3f29-77ac-4e2e-80e1-31f5a85b154d,nice app,5
6f3972cd-2073-4525-a36d-c71ccc91d86b,hate not being able to see what I commented on a day before I have this thing called text messaging and I think it works just as well,1
951333ad-fd08-48b2-9af4-ae1b69eda3e6,this aap woww so good....☺️🤍👍🏻,5
54bb4502-3c46-47a3-bc54-56295e149559,"it's frustrating these days , idk what's wrong man . I keep getting ""Snapchat isn't working and it closes when I open it",1
1f1dde81-cc7e-43d3-843e-bfea2802e159,good,5
76a4213c-3e9f-45aa-af27-e8efe6269a63,nice to know that snap chat is okay with people stealing others information and creating false accounts with someone's information. I've made multiple reports about it happening and they say it not a violation of their rules.,1
33ad0929-bbd9-4a62-857c-be78ec98c642,"your so called update only screwed things up- as usual. I can't add people. it shows they added me on their side, but they don't add on my side.",1
c8d3c844-e053-4c69-8734-b2ae1f53ea4f,it's amazing 👏,5
031adf4b-d13f-4317-a57f-812384869a9f,excellent app 👍👍,5
11942060-8797-4223-b6bb-aafe4b03f485,إبداع,5
9b018817-9920-4425-bd40-96a0539d58ab,Good,5
d7334a62-28a5-4214-835d-9b25a2b00749,good 👍👍 app,5
1c31f32d-ccc2-4e8c-b345-40ec51628272,I like snap because I get Friends in snapchat,5
719c55e3-0daa-46b6-a00c-7f5b9309988b,très Bonne application 🔥❤️,4
91a12f70-7a48-4f16-a31c-4d5d6da3cc57,pepole are missing from the chat,4
2a56a1fb-f18c-4d8b-8284-c2e161094fa0,"With snap plus it says you can pin one friend to the top of the list but it doesn't actually do that anymore. Please fix this. I have someone pinned but it doesn't stay at the top. Very frustrating. Also, I wish there was the ability to change the playback speed on snaps received. Sometimes it would be nice to play someone's snaps at 1.5x or 2x due to my adhd if someone is talking slow it's kinda annoying.",1
f01d7d8f-9bd8-4b11-b7f1-a2019b066adc,app works fine but they plaster influencers on the stories page in a very grotesque way and plaster ads everywhere. I've uninstalled it due to this.,1
cf60359b-d608-46ac-9331-66f2d838ce7c,I don't want my AI can u get read of it!,5
9a6b046f-9156-41ff-bf46-1d124926d0cd,"Overall okay, I use Snapchat a lot and switched from iOS to a Google Pixel 9 Pro, super fast phone but for some reason on Snapchat when I send videos, my mouth doesn't match up with the words. My mouth lags behind! Super embarrassing and frustrating especially out of this phone, but it's definitely a Snapchat software issue. Hopefully somebody sees this and can fix it somehow! edit- submitted many bug reports, there has been an app update, but still the same issue!!",3
599b1c20-4448-403c-b373-7431493cc4da,very good,5
a19d6b68-5218-4107-8165-0d6047692c33,I don't think snapchat ai likes the word freckle. this is really random but whenever I say freckle snapchat ai starts ignoring me for 5 minutes.,4
f1ea2fe3-26ca-463f-852f-913615887940,very good 💯,5
9cdf51b2-a3b1-46eb-a62d-311ea38f7afc,terrible customer service and no help,1
2ce00cba-a491-433f-8636-6fdd6b3b3b2f,Always a fun app with the kiddos and the friends.,5
184b2f23-e94f-4bf0-845d-c0a9347f655f,there are too many other apps' that have snapchat as one the ads and lead straight to snapchat my account. That's too personal n too much. so removed it.,1
240b4819-3ffc-4419-8ed5-aecd45d4d593,"too many notifications I got this app to chat with friends now I get notifications for every story, memory, and suggested friend honestly I'd delete this app if it wasn't for my girl",2
9ba0dec9-d10f-4ac7-87bf-b5b7e68f5e9c,GLITCHY ON A SAMSUNG its ridiculous,1
503c20d1-991c-43ca-a473-2b967e8cdb3a,"SOOO many notifications! Even if I don't have notifications turned on for someone posting on their story I'm constantly getting notifications telling me they posted on their story. And the snap stories (Snapchat's not people I'm friends with ) I get tons of and I'm not even following that page. it's annoying, the app was so much more fun when I was child",2
59815013-c754-4a81-9e56-013b939225e4,I can't get anything to load lost lots if pics and vids,2
03690270-e3aa-4587-a6d1-ef173e8873a8,amazing,5
1a60c04c-ca95-45ce-abfd-5160f4af6a7e,fun,5
1f3cb977-647d-447c-8f5f-c3830e6920c6,I can't update to the latest version why,4
8c06ce22-bf08-4c90-94b3-58daa8d387c1,Nice,5
dc35d213-9205-46ea-8b14-c8993e002c1c,Great,5
79dcec5d-c9f6-4401-ac0f-b13c8da48483,very nice app,5
8ec4be72-d27b-42d8-bba0-dc3bdb7e82bc,I give this app 2 star because of its insane adds on different apps,2
9c689035-6a4d-409d-a920-85f75f4bc937,good,5
6dcac970-346a-491e-bf98-03bfeea6ec21,my account got hacked don't download it,1
63108ee6-112e-4125-9ad9-d846edc6580a,Amazing,4
3824e73e-0f71-45d7-a274-929a612179e3,I don't like this anymore..... Waste of time 🗑,1
b02df432-87f9-4dfb-b76a-cc339989e3fa,subcaanallaah,5
c3b53e8e-3d63-4fa2-9bfa-2ba3012f5c1e,"Snapchat is a social media platform where I can share photos and videos with my friends and to work, amazing UI with nice App layout. easy to use.",5
90a3c79e-302c-47a5-987c-df34bca7cb05,very nice 👍,5
96bc74bc-4fbf-487f-8652-b8b3e0422c23,it is bussinnnn,5
db986062-60be-4eef-bbd4-f3ca0c23a587,love it la,5
b07b0628-cd15-4384-a8af-499d77d0ad33,Amazing i can text people and i look cool,5
1f60c5ac-95dc-4ed6-a84a-1a2a62271931,it good,5
9659f75d-4ffe-4489-833d-319e5df96787,Every minutes is like a diamond Dont misse your diamonds 🤍🖤❤,5
a1dfcaff-927e-4144-b121-a8d2bc5e4b8d,my snapchat account doesn't show ultra wide camera feature and i have nothing 3A please snapchat give ultra wide camera feature in nothing 3A..!!😭🤌🏻,3
151b09a3-f0b1-4d31-82f0-0abcb4ddf403,is amazing app,5
a8225122-0fea-4b9b-9a37-6836d7425f2d,can't text anyone on my internet is very good what is a good app but I don't know what to do cuz I can't text anyone,5
3eeeadf1-19b2-4ddb-8b43-8053d5b14845,app won't let me read my messages,2
db0a0dd3-a32a-4b48-a8b6-6a03d756aeaf,good,4
a900ad3a-91fb-4d34-a7ce-b2642cf5809a,good....,5
1014feca-c307-4615-b435-3d8ef11b7f31,If you say it's not the best?tell me why,5
50a014aa-cc9e-4504-a3ec-9d768bf015e0,"ads are WAY too long there's no reason for a Snapchat ad to be 60 seconds long, just because of that I'm giving it a one star",1
3459cad5-5bca-4f93-93c6-3a1594b4d9f8,It is so nyc this app with best filters,5
8da440f4-ea5e-440d-a9dc-8429514deaf7,friend search Nahin ho rahe hain,1
aef6f830-0410-42ab-97cd-ae18dc82d909,great 💯,5
76b16a58-7411-4e42-bb00-72467adaefa8,bohut achii Snapchat ky lenses hainn I love Snapchat 🥰😘,5
c3d2c982-fcec-4c7a-9034-4e4c3fa2253d,best,5
69626cb6-1d04-408d-9542-99485ce873b0,❤️,5
0bb42c4c-323a-454d-808e-2f83d4434f91,this app is very good 💯,5
cada238d-6503-40ff-8a42-008512a5916a,you can call text send pictures and watch videos,5
