reviewId,content,score
5380c06c-bf1d-4312-bdfc-b7b3b6fcec38,"Absolutely Impressive, has a lot of potential to exploit.",5
b720ebcd-d5d5-4626-b17e-3303e64189bc,this app is very usefull,5
f4ff8170-9217-44e2-9210-cae77a99df6d,eXcellent 👌,5
d0c5c43b-9454-4b46-a573-7c47d2871341,Welcome to X with TRUMP Vs MUSK,4
23801a4d-e7ac-4d38-a887-b5a6384d7652,PLEASE MAKE AN OPTION WHERE WE CAN BULK DELETE TWEETS OR SOMETHING. look im giving u a five star review just So u could add it plzzz,5
c7efbf8a-f3f6-405a-b3ba-da8e519a9f08,"can we get an update from company 4CP known new site, upgrade,and FEATURES I mean more fun we've had it while NOW,WHY NOT TRUE TECH ""FOUL""",1
fadae5d3-aa1e-475f-9dfb-aa1d2a2c458c,Mt x is working perfectly,1
0de10b42-2484-4d40-b169-647d0da05208,exceptionally good,5
9c28a6b0-6015-4773-bb2b-af0ac8fd8fdb,Good application,5
5355cb73-ccff-4654-88c5-124c2612cbcb,smile,5
3048224c-dac1-4b72-a200-ba82df9aedae,very useful,5
f52d6790-a6af-4fff-9a8b-74cef8debf54,great,5
8713feac-98e1-4ec5-b42b-aecc7abc6aef,Mera nunu 5inch ka hai koi lehga,4
9c8904c4-37ce-46d9-b661-a191bf98594c,"Amazing app, love it",5
3375f958-570f-4bb4-9a8b-cdb7da9c9e08,It just works,5
77fdf148-39a1-4574-af27-f41ed2fd2b69,good app,5
fd9f4c9a-1196-4b9c-991d-16def9e171b9,"It's a good app, But it needs better moderation in my opinion, Grok is very smart, But sometimes it isn't (in a funny way), There is a LOT of bots though, So y'all need to fix that issue but overall it's a good app :)",4
caa7ef9d-1d48-44fa-9333-6bb2669f0f53,[DM Suggestions] - Needs ability to edit and delete message feature. - Needs an unsend message option when pressing on text message. - when sharing a picture or video accidentally needs a remove option for that (removes for sender / recepient as well). - Add Reply underneath message responding to a specific message in an individual or group chat. Add Speed control feature for voice messages allows users to adjust the playback speed of messages to 1.5x or 2x the normal speed.,5
30ab842d-ff42-4fb0-a84c-281f7aabb988,I want you to know that I have been able to help with my winnings from my phone with nobody else to respond and you get half of it I'm going to let them get a ride,5
01aa8a23-e93c-4854-ba4e-0a478d1725a3,I am not able to get ascess to my Account Very Displeased& Disgusted,5
7b082f71-b194-4e5d-9e0c-a8ab8cf06c9d,highly recommend 👌 👍 👏,5
6bb8bfc8-76c3-400c-9fa9-a389bd6be7f6,it was perfect but now down i dont know why here in my country i cant access this app anymore .,1
fc983f89-dbd5-4387-8ec7-ef8473aead91,awesome way to learn about what's going on in the world as I don't have FB nor IG or other social media. X is reliable for me!,5
6605c0b5-77b1-478e-a635-de4a73214ed0,If Elon can call his Daughter his son..this app will forever be called Twitter,1
926ed7f7-ed32-4327-94aa-0aa0fad7e943,Worst product ever,3
800c47a8-7562-4b5b-b69f-443ac48972e3,Best social media app.,5
fbc7d558-894a-41c4-bb65-8b435cd9056b,❤️❤️goood very good,5
57366d80-0c5b-4fc7-97b6-505a8d81ec51,gooder,5
5129e7cf-eca1-4713-a285-39af8659db46,sweet 💞,5
a44b1f27-943d-44f7-b535-f544407070f4,Ribet,1
549fe4b9-38af-4b5f-bf5f-556f69b39c09,helpful and ease of use,5
dbf48b6f-b0c3-4022-9334-a50de4f415f1,Great 👍,5
ec1c878d-ba4c-4b3b-a89f-ae8eec312a83,Best Social media app Ever.,5
