reviewId,content,score
8cabfdf2-b221-421d-8969-be98c9d49b87,good,5
a8e146cc-2aae-4aa1-8fb9-70b782ed6c6f,very good 👍,5
9d0d8a5f-b481-4cce-b0f8-2030bfbd20ca,App suddenly stopped working Tried re-installing the app but still not working,2
9ebe0d89-0ea7-4fbe-a77d-d65800260ec8,good,5
0ec9e4c5-6bd9-4e63-826b-c2803eb932df,Op,1
fbe03feb-3605-4176-af1f-7b68248d5e93,good,5
7dc55599-565c-4af3-abf5-a75ac6f56fff,thanks all great,5
405ddbaf-b5b3-4a20-af26-79c3097b0b3b,😘,4
11e0bfe7-aa12-4852-b08e-e2dad6899e58,I'm tired hiding ads and seeing the same ads multiple times again,2
83d0af1a-9b5e-4abf-849e-5f053d76bc93,Good platform,5
9c3134dc-016b-4124-be6a-a852d7d80a0b,I have the best kids!!! XOXOXO Love both my June babies!!!!!! Love my Boog.,5
e62e9fca-56e9-496e-bf8a-5f1d8c8b2715,♥️♥️♥️,5
e32c2cac-8bff-4cb4-a001-dcdbc0c3c656,Really a good app actually actually this app Sucks,5
806278c4-464c-42e8-bdfe-e852debaaa73,good for Facebook...,5
094541cd-5950-4da2-82ea-8263c858bd64,good,5
a4e267c4-f80f-4400-991b-7650f880c6aa,good,5
3383c630-6c88-4d6e-96f4-11ca843a59d0,"useless application, they keep disabling my account for some reason i don't do so !!!!",1
7cadd715-2a1b-4cef-9562-113ba02bb997,I'd date this girl and ask her dad for a job.,5
59d77d04-03ba-4410-8625-f62765f200e2,very good,5
9d3298e9-8a13-446f-bec6-ee8d22bfac40,good,5
8841065e-5581-473b-bdaf-ec4ec984f27b,good,5
cfae2b3d-3098-402c-844f-7935cf1e7984,Good,5
6eb2dace-f0bf-4bf0-8dd7-b43554467e40,MYAT,5
f37cfedb-00d4-41d9-8a91-880f3c14f421,"I'm not even actively posting on the timeline about my personal life and yet my account has been hacked: Multiple e-mails have been added far away from my country, they had my password changed. I had to delete it and make a new account. This is the first and only time I have experienced hacking from any social media apps. User accounts are easily COMPROMISED. UPDATE: Now my current account is blocked and I can't use it, claiming it's run by a bot. FB does not care about its users!",1
14263c35-c8b3-4ecc-9921-12f97ad6dc72,enjoyable,5
7a75024d-714d-4195-9ab5-4e4fa0eef10d,G How I Love My Mom Wife And Kids,5
6aa8f141-9703-4680-8d0d-bd9a397d94cb,#SuperFantaMagoucious App Eva,5
19f1247c-b9f7-4e89-9b42-6d66e3c9c7a4,soma shendge,5
9bce1189-f0ef-4c9c-8edd-75c8c384adee,"Am trying to create an account with my name ""Kyere Majesty Yeboah"" but you guys are giving only ""Kyere Majesty's Yeboah"" which isn't my name to select",1
98fd2b6a-59dc-4ec0-84fc-85aa8df59005,Won't open for some reason,1
55127ecd-6924-4dca-84a3-45689dc3a1a5,নাম মোঃ জলিল,5
8fea0caa-3470-4e7f-96cf-9affcf7d0062,Massive app everyone,3
519538b3-e878-4c3a-b843-378f59f4b7bb,mast song,5
9f2e1725-c639-495e-9e7d-3625b945382a,good app,5
dc964309-960a-486f-b19a-7c89897b91d3,nice,5
859606a3-b8f3-444f-b3c0-bcbb98fcd7ee,absolutely vital for my connection to my family and friends worldwide!,5
79aed842-8022-48e3-bf6a-4897bc3fd8fc,way to much AI,1
7979f6de-978b-4ddb-95de-38729de5e0dd,nice 👍🙂,5
e0d0a657-b2bb-43a2-a931-657a8ee26ba9,"For the last week I keep getting notifications from Facebook saying I need an update. I have updated thru Google Play Store and checked on Samsung app store, both say it already has been updated. Yet 3 or 4 times a day it send notifications to update. DRIVING ME CRAZY!!!!",3
6ab226d8-4621-4512-8fc7-51162a80eca0,Shubham Babu,5
e8c9dfce-beac-4a81-a857-76d7d3fcdbd3,মনে,5
75e9572f-6552-43a3-b120-51d55b6b5ae4,nice,5
26908ca8-ee3c-4367-b1a0-d650c0e85c20,keep removing my profiles for illegal advertising with no explanation 😤 lost all my business pages everything no explanations,1
ab034530-f003-4c49-a929-07a2ed0339a4,follow,1
206369c5-4907-4db9-a42a-e9fbfd6cf1d5,please recovery my facebook account meta😭😭😭😭,5
e59a26e3-eb25-4efd-a6ef-899de81ceb04,great,5
037e2a40-d0b7-4929-b59f-f31ae868d904,Facebook download,1
43896c99-3fd4-40da-95fd-030135b9735b,nice content funny gudvibes,5
bcdd9b6c-7ea5-4a70-83c8-c555b5bd18fa,Nice 👍🏻🙂,5
9db8162f-8b7a-42a1-8db0-c8477e3b50d3,good,5
3a7c5693-9ccd-49c9-9f76-6eba97e35dcc,nice,3
39bae4e5-679f-44a4-9d4b-ef224b4149e5,nice,5
38daf949-361f-4ba3-a9a2-09bf20aba4b1,the app is good but comment links are not albe to access its very desebpoint to me🤯🤯🤯🤯,1
f27fd297-6087-4073-aa11-81adcd191c78,খুবই ভালো,5
5d232200-a725-4eec-bb20-72e9721a5c65,gund,5
88f1e7a2-6fba-4b96-a5dd-cf713c7a20e7,much love for you dota❤💖,1
8f8bfb55-067f-409e-8539-cc316c5f99d9,it is A good app thanks,5
27d1bf33-a3eb-4f2f-b42e-932d68fccf07,nybba all day everyday,5
e88b6d07-30b0-4b3f-8fa4-3f881191b679,fake,1
7678dcf3-c0a0-48e9-928b-e9288937dbb5,love this app,5
b66b1d24-969f-4507-b664-9ce8344be6c4,love it,5
a65cd87b-5eb3-49fa-9e3e-366d2fc45c1b,good 😊,5
81bc9c3c-5b62-4a46-9b89-7e9aad809b04,Mely at Mexico in my Kitchen always delivers the best recipes and they are pretty easy and straightforward to make.,5
2d6a60cf-2302-411b-84ed-28dfa41e2b3e,good very good,5
d6b590a7-565e-4ea1-a6e0-fa39b45cee77,nice,5
cc303c4e-f08f-4993-bc15-4d7463c5a873,Thamks fb,5
9a7ac1b1-7e97-44e7-922f-ccdbb9c7ff50,good apps,2
efe2f950-e019-447d-911a-7edb4077d7dd,I'm cool,1
b0d7714b-f4cf-4dee-b61c-cc99216e6b78,"PANGIT KA BONDING, NIRE-RESTRICT YUNG ACCOUNT KAHIT WALANG VIOLATIONS. EWWW KA",5
a8a96ac0-3a84-490f-8794-3af011c92797,😲😲😲,5
076dea93-8abb-47d8-a4cb-74ac235f57f8,very nice and happy new year sir ji and happy you are always welcome to milenge dobara gane and family members of my life is Biswajit Barui and good morning sir ji you not hi to me and my nume is Biswajit Barui ji you have nice day with you are from agradwip rs my house 🏠 but charent site jaipur is Biswajit Barui sir ji you are from javaharat and Gold jayllare jab you are me sir ji and my wife and my family members of the day with you are family members you are very Miss you All family members,5
d17c278d-4b4e-41cd-a1c3-ba0aebfd8a1b,I'am so happy 😊 facebook page se bahut jyada time spend karna videos dekhna 👍,4
85a9bee6-e671-4a30-9ee2-3c81c50db182,nice pH,5
8ade0e7c-ee24-4b6f-9201-725749ca0984,After sending a star money not increased. Please solve this issue!,1
23df8f9a-4e4f-40ab-be56-6657785c1e4b,मनोज कुमार,5
fc21c787-28f9-41f8-8afa-2f6baadc813f,"tried to create an account, and it immediately banned me. Tried to appeal by providing face identification as proof. It proceeded to hard ban me with no ability to appeal or seek support to fix the issue.",1
5e2769bb-175a-449b-bdb9-68782d914368,get app 5 start,5
06329356-d8ab-4942-b363-b77161ac80ed,all our accounts has been disabled we don't know what happened,1
05e92f0e-c68c-4ee8-91f6-3b44cfe48ebf,"Facebook’s new update is terrible. It’s now so hard to browse when you search. Only photos show up, and when you click them, they’re pointless. Unlike before, you could easily tell what the photos were about because the captions were immediately visible. Please bring back the old version.",2
9550c5b2-0d84-4ada-b7ee-6aaa301f11a1,nice,5
417ebff0-4ec8-402b-b2f2-7c95504dc53d,"I used to love Facebook and maybe my friends are just not posting as much but I can scroll past 10+ posts and none of them are anyone I know, mostly ads and fake news. Then I see one post from a friend and then another 10+ from people I don't know. Pinterest is worse mostly ads nowadays fake ones at that!",3
9a89d33a-c8f2-40f1-9ecd-ec827b77c54a,this app is useful to me,5
f05dda99-6795-448c-8175-1158e8c32b53,১০০০০০০০০০৯৯৯,5
ef2a8289-2e7d-4481-a210-089a6b67175b,full,5
531c93dd-af0d-4e01-b60c-55d4ccf589b3,KH.,4
9c3f55dd-3e4a-4bd8-a853-4ec543030f1b,Good,5
a4ccf144-2958-4772-a825-b15f544507a0,ok,5
c8e9c850-1fc1-41b4-9909-d0a1b22f8436,Very Good 💯😊,5
38737e2d-3a2c-4ee4-9a69-891db87f7f8c,good four Facebook platfor,5
b87a6448-f11e-44cc-aabf-0d66cd11eede,bravo,5
1783d9fe-56ab-4db5-ac54-c0cc6f127d86,You must be Your Real-Self on Facebook Messenger and Instagram Social Media Platforms saves You from been Disabled and Restricted.💁‍♀️💨🤗🤗🤗,5
96efdec9-bd99-4c19-a1b3-8e1c779972b3,decadent evil,1
914ae14c-0b84-458e-aa44-b6cf8b243488,very good 💯💯💯,5
ca55620e-3fb0-4ae8-85d4-93ac7ac01c77,Nice,5
11179776-1346-4ae3-8401-da2d498c4e23,"As a 16 year old, this is an amazing app to keep in contact with family and also be able to look for upcoming events in your community",5
eeee23a9-be6f-4bb0-ba71-7816f5f631c3,good app but not open my id,5
abbf247f-9a70-4a30-80cf-83f9cb783dfb,not working anymore for zero reason,1
121aa69e-31e2-40dc-920e-9c6f30f3a84b,"My account has been disabled for the third time in two days, fb, are you kidding me? Is that stupid? I have some things I need on my account and then it just gets suspended like that.",1
1ad6a266-7794-404f-9aeb-2fea027f80ee,Sometimes you just need the right side or the right way to follow-up with yourself course life is so hard.,5
3c4e606a-ef0c-407c-9f58-53125930bbd5,Average,2
253bd594-03c7-4155-8641-da22cafcbcce,I am using this app good for me,4
639d3fe8-8ff0-4429-9902-a5628b365b45,very good initiative.,5
36b51e01-454c-4c85-bd66-41ff79c57484,"It opens it closes tells me it has a bug, I don't know what they did but it does not work at all.",1
811fe353-af74-4d68-b43a-a67658b49563,Good podcast interviews thanks,5
c0320a6b-df3c-4ffe-9902-253d9b4293db,getting prompted to install messenger app to see messages. messenger app doesn't work with multiple profiles so now I'm screwed. lovely.,1
3fc89c37-89b8-4c07-a1b1-db3a779383b9,good,5
b20a3347-48ee-4674-ae5e-c752c6cd1bbf,"Still the best social App! one thing with this app is that, it is one stop shop for your all social life. making friends, get a latest news update, chat with friends in real, live broadcast, share your status and stories.and most importantly it has a market place for your shopping. simple the use with good user experience. I highly recommend it!",5
6d6cbc6b-0ceb-48d3-a7df-a989e4858d94,"Hello meta can you bring back my two account that I used to be in work. I cannot access to all my file and to my family, friend and anything else that related to work or event that I suppose to be in there. This face isn't good for to me. My 2 account it doesn't work. it going to delete of my 2 account by Facebook.",1
98410cf9-2874-4739-848a-30f3ffedeeed,It Sucks,1
a05527f9-536f-455f-9203-276655f44c9a,good,5
4443d1d6-7038-44ef-b3e8-c28d2a9df23f,this app continuously skip videos I'm playing to another one.,1
fc6abec8-63c1-4878-aac1-5c773f4fd5de,the best market place option,5
734fb9d6-1cb1-4bde-8a05-60ea8d4cabff,very nice,5
4fbdc052-5bcd-47fa-a0b7-7670c4f4bc3a,အကျိုးရှိအောင်သုံးရင် အကျိုးရှိတာပေါ့,5
27d67215-9d9c-43da-8003-cbdd88d9dc80,"I have not use it, so I'll try to find a good information about Facebook",5
a8587f99-38e1-4444-b62b-593eb16a4e32,Deepak dhurve,1
a4703c47-b4fd-4588-a44d-5694705caf8e,"Since the last update, the app has been unusable. All I get is a white screen.",1
b2749b33-c5fb-4419-99ed-3f05ea5b261c,Excellent food and excellent friendly service!!!!! Many many smiles and support your locals!!!!!,5
ff976f5a-4dfa-4f03-aa72-c7824c6d8421,irs,4
85e7ffbe-6485-45d8-8f23-d3a1c97cf7e6,Not bad😉,3
223a0566-39d0-4d95-919e-14dcd0d7c3e6,Mika Kumari,5
9783371f-69b4-4178-a099-fb766f59df36,usefull,5
e0ee6bc2-ddbf-488f-8cf2-a8fda5628dd3,good luck 💯💯 for Android,3
7018ea49-c684-4d25-87c8-f69deb2e0e4f,"फेसबुक संवाद करने और भावनाओं को एक साथ कई लोगों तक पहुंचाने का बेहतरीन अवसर देता है। सूचनाएं, समाचार , देश दुनियां की जानकारी भी साझा होती है। हम फेसबुक के सार्थक इस्तेमाल के प्रशंसक हैं। धन्यवाद।",5
fdc52adb-e4d9-4aca-93ae-33ce107da7a9,now go arrests the liars n traitors of the USA,5
44ec4461-278d-4e9c-9260-64a1871892b4,STRAW was Great movie with Outstanding performances. Tyler Perry does it again!!!,5
1b26e78f-0900-483a-8a1f-f0b54ab08440,MO AASIF,5
9e88569f-a227-4c5e-a7b7-25fe6dccddd3,nice n,5
92d071c0-4108-4400-8a21-0db43231f234,my best app,5
2457900b-6b4d-49e2-a6db-e13614bd8540,"i always get banned whenever i make a facebook account AND YOU KNOW WHAT IT SAYS?, I've BEEN RESTRICTED FOR ADVERTISING I HATE THIS APP UNTIL YOU FIX WHATEVER IS WRONG WITH YOUR COMMUNITY GUIDELINES😡",1
5bd6a907-6879-4233-aa4a-465141c86d87,"Sebaiknya aplikasi ini lebih fokus gimana caranya gak terlalu banyak memakan memori Smartphone,saya tahu ada versi Lite,tpi fiturnya spt pemutar video tidak berjalan dan kadang mau sharing photo(versi lite) harus disimpan dulu,kadang merepotkan tambahan : Komen GIF uda gk bs ditampilkan otomatis jika pake komen",3
9510e7cd-08f1-4586-9f7b-c5b15a135562,👍,5
0cea26eb-9aa9-4fba-bbcf-6bd03ceab87e,it's nice,5
7db51b01-2622-4e7e-b402-eb200e0d6331,perfect 😃,5
e8c07574-24fd-48e1-8ed9-d69c387b1ceb,Love it,5
b213eb53-34ab-4e95-b661-3f77881c1864,nice,5
6a788424-45c3-4330-a004-dca377dc275b,we,5
6a50bfaf-0332-4ef1-a1a1-c1412c455a2b,I can't post or comment and they keep making me do selfs to prove I'm a human being and I feel like it's a harassment towards me,1
bcb1babe-548b-4747-8e0c-d3412a2b1cc9,Good 👍😊,5
3f862d95-a03e-4c08-a70e-212846ee5afc,"new job, new Link, video, viral video new video",5
53075094-5709-4df5-90cd-e36dc14c2294,"z*me,3",4
d4fa027f-a347-4960-8c42-f614e37b8f55,excellent 👌,5
bb84ab0b-a8d8-480b-953b-e4c28614d7bf,ads are so annoying. makes me want to avoid those brands.,4
35282d9f-38d8-44ad-b7de-55201c0ff5c5,"The app keeps opening new processes instead of reusing the already opened one, then you have bugs trying to play videos people sent you via messages. You end up with a ton of Facebook apps opened, it's making a mess of browsing recent apps. This needs to be fixed. A single process like everyone else please.",2
b71e65d6-29db-46b1-904f-de2f27e89b14,nice,4
9fe420dd-8c21-4094-86c1-6442cd3ed0a4,no . x,1
9d48d912-b0ff-4a35-9208-a0fba8f6826e,tanx,5
b2111de4-e555-4780-a336-f506831e0722,Good,5
