review,rating,date,source,sentiment_label,sentiment_score,topics
face book best platform 😎😎😎,5,2025-07-27 10:53:11,Google Play,POSITIVE,0.998414158821106,"['face book', 'best platform']"
I finally experienced Facebook after July 7th 2022 explore a lot of trains anime cartoons Power Rangers giving comments on videos and pictures I like is exploration on cartoons and anime viewing pictures and I like mostly all of it the only disappointing thing about it I can't download any video or music four pictures for posters I would give a much higher star,4,2025-07-27 10:53:02,Google Play,NEGATIVE,-0.9685017466545105,"['facebook', 'july 7th', 'a lot', 'trains', 'anime cartoons power rangers', 'comments', 'videos', 'pictures', 'exploration', 'cartoons', 'anime viewing pictures', 'the only disappointing thing', 'any video or music four pictures', 'posters', 'a much higher star']"
Nice one,5,2025-07-27 10:52:53,Google Play,POSITIVE,0.9998481273651123,[]
💯 helping with the needful,5,2025-07-27 10:52:38,Google Play,POSITIVE,0.9804948568344116,['the needful']
Nice,5,2025-07-27 10:50:30,Google Play,POSITIVE,0.9998552799224854,[]
👍,5,2025-07-27 10:49:28,Google Play,NEGATIVE,-0.6970566511154175,[]
it's make my day so calm,5,2025-07-27 10:48:46,Google Play,NEGATIVE,-0.7843633890151978,['my day']
worst app,5,2025-07-27 10:48:33,Google Play,NEGATIVE,-0.9997863173484802,['worst app']
this app may be 5 ⭐ ! but she was 10/10 💕,5,2025-07-27 10:47:53,Google Play,NEGATIVE,-0.9948033690452576,"['this app', '5 ⭐']"
okay,4,2025-07-27 10:46:45,Google Play,POSITIVE,0.9997709393501282,[]
"nice at good app,",5,2025-07-27 10:46:43,Google Play,POSITIVE,0.9998620748519897,['good app']
nice to know that even these days someone is still trying to learn about their brother cultures and educate more people on what they've learnt.,5,2025-07-27 10:46:32,Google Play,POSITIVE,0.9962751865386963,"['their brother cultures', 'more people']"
"this app is so nice, no ads you can post your pictures and you can get friends you can watch videos and which with other people there are free videos you can even live.",5,2025-07-27 10:46:21,Google Play,POSITIVE,0.9949744939804077,"['this app', 'no ads', 'your pictures', 'friends', 'videos', 'other people', 'free videos']"
Nice one,5,2025-07-27 10:46:11,Google Play,POSITIVE,0.9998481273651123,[]
awesome po,5,2025-07-27 10:43:36,Google Play,POSITIVE,0.9998512268066406,['awesome po']
good,5,2025-07-27 10:42:53,Google Play,POSITIVE,0.9998161196708679,[]
very nice 👌,5,2025-07-27 10:38:55,Google Play,POSITIVE,0.9998577833175659,[]
this amazing good feel and share friends reel,5,2025-07-27 10:37:11,Google Play,POSITIVE,0.9998903274536133,"['this amazing good feel', 'share friends']"
good,5,2025-07-27 10:37:00,Google Play,POSITIVE,0.9998161196708679,[]
All frends good luck thanks,5,2025-07-27 10:36:15,Google Play,POSITIVE,0.9998000264167786,['good luck']
good,2,2025-07-27 10:35:06,Google Play,POSITIVE,0.9998161196708679,[]
🤣🤣🤣,5,2025-07-27 10:34:56,Google Play,NEGATIVE,-0.6970566511154175,['🤣🤣🤣']
super,2,2025-07-27 10:33:48,Google Play,POSITIVE,0.998783528804779,['super']
