date,review,rating,thumbs_up,cleaned_review,sentiment_label,sentiment_score,sentiment
2025-07-15 03:34:14,love the updates,5,0,love update,POSITIVE,0.9995667338371277,positive
2025-07-09 04:38:40,"easy to use, accurate information",5,0,easy use accurate information,POSITIVE,0.9912081956863403,positive
2025-07-02 07:22:57,"unable to adjust and put a number in sqft and built year filter option, slider cannot be adjusted to specific number. for ex. built year can only be either 3 or 1. sqft can only be in 100s. realtor.ca has both edit: please do not ask your users to work for you. you guys can easily take screenshot yourself or just pass on the feedback",1,0,unable adjust number sqft build year filter option slider adjust specific number build year sqft 100s realtor.ca edit ask user work guy easily screenshot pass feedback,NEGATIVE,-0.9948712587356567,negative
2025-06-28 18:10:10,"You used to be able to zoom into a neighborhood or street, and there would be little blue dots signifying that the house had been sold, or is for sale. you could hit the dot, and the listing would pop up. Now it's gone. It would be nice to see just the listings that are NEW today, rather than yesterday's and today's listings shown at once.",1,17,able zoom neighborhood street little blue dot signify house sell sale hit dot listing pop go nice listing new today yesterday today listing show,NEGATIVE,-0.7762724161148071,negative
2025-06-26 18:33:38,keeps enlarging itself on a tablet,1,0,keep enlarge tablet,POSITIVE,0.9991586208343506,positive
2025-06-25 05:24:29,best real estate app. shows you everything,5,0,good real estate app show,POSITIVE,0.999834418296814,positive
2025-06-21 20:45:44,love house sigma! the ability to see historical selling prices is so helpful.,4,0,love house sigma ability historical selling price helpful,POSITIVE,0.9994431138038635,positive
2025-06-16 05:15:30,Very disappointed that they've removed a lot of the market stats now that the market has slowed down. Very shady!,2,0,disappointed remove lot market stat market slow shady,NEGATIVE,-0.9994572997093201,negative
2025-06-13 17:05:12,"Great app, but missing streetview option and tablet version is buggy (no horizontal view, icons becomes huge all sudden so it has to be restarted)",3,0,great app miss streetview option tablet version buggy horizontal view icon huge sudden restart,NEGATIVE,-0.9935791492462158,negative
2025-06-08 06:02:14,"This app has so much info, it's great. My #1 tool for looking up real estate. I wish it didn't ask me to login multiple times a day.. It's 2025, it's about time you've added dark mode! It's a great app but these annoyances like no dark mode and constantly asking me to login are annoying. This is almost the perfect real estate app.",4,49,app info great tool look real estate wish ask login multiple time day 2025 time add dark mode great app annoyance like dark mode constantly ask login annoying perfect real estate app,NEGATIVE,-0.9833822846412659,negative
2025-06-03 20:27:06,"great site, lots to offer",5,0,great site lot offer,POSITIVE,0.9997988343238831,positive
2025-05-26 23:18:50,great information very timely.,5,0,great information timely,POSITIVE,0.9998773336410522,positive
2025-05-22 07:37:26,Excellent app! Highly recommend for home/neighborhood information,5,0,excellent app highly recommend home neighborhood information,POSITIVE,0.9998250603675842,positive
2025-05-22 06:01:08,Amazing tool. It is really useful.,5,0,amazing tool useful,POSITIVE,0.9997982382774353,positive
2025-05-19 02:04:22,I like looking at properties to get ideas for the future.,5,0,like look property idea future,POSITIVE,0.9950064420700073,positive
2025-05-18 20:58:20,"Absolutely required to be an informed buyer in real estate. Has finer filters like condo fee maximums, shows price history and sold listings.",5,4,absolutely require informed buyer real estate fine filter like condo fee maximum show price history sell listing,NEGATIVE,-0.7054368257522583,negative
2025-05-13 19:29:20,seeing property I'll never be able to afford,4,0,see property able afford,POSITIVE,0.9997393488883972,positive
2025-05-13 00:43:34,Nothing available east of Ontario. Would use if extended to ALL of Canada.,1,0,available east ontario use extend canada,NEGATIVE,-0.7542622089385986,negative
2025-05-09 04:12:12,Great app.,5,0,great app,POSITIVE,0.999821126461029,positive
2025-05-03 05:32:09,this app is dog water. has no listing's. none. go on the browser and it works normally.,1,0,app dog water listing browser work normally,NEGATIVE,-0.9919133186340332,negative
2025-05-02 09:24:22,great app,5,0,great app,POSITIVE,0.999821126461029,positive
2025-04-28 10:01:24,better then Realtor and NO ADS. KEEP IT AD FREE. Awesome app.,5,0,well realtor ads free awesome app,POSITIVE,0.9989905953407288,positive
2025-04-25 20:25:18,App crashes whenever I try to bring up maps App crashes whenever I try to bring up maps App,1,0,app crash try bring map app crash try bring map app,NEGATIVE,-0.9982500672340393,negative
2025-04-14 19:41:41,"great app, but keeps signing me out daily, since maybe a few months now!? super annoying. Android and web.",4,2,great app keep sign daily maybe month super annoying android web,NEGATIVE,-0.9715913534164429,negative
2025-04-10 19:34:25,"Has actual information on previous listing prices, changes to price, final sale price.",5,0,actual information previous listing price change price final sale price,NEGATIVE,-0.911373496055603,negative
2025-04-09 03:18:51,a good place track the market,4,0,good place track market,POSITIVE,0.9998327493667603,positive
