review,rating,date,source,sentiment_label,sentiment_score,topics,emotion,aspect_sentiments,category
useless app not able to activate my UAN no. portal says go through app but your app is absolutely bogus,1,2025-07-31 14:58:07,Google Play,NEGATIVE,-0.9997277855873108,"['useless app', 'my uan', 'no. portal', 'app', 'your app']",anger,"{'useless app': 'Negative', 'my uan': 'Neutral', 'no. portal': 'Negative', 'app': 'Negative', 'your app': 'Negative'}",review
good,5,2025-07-31 14:55:29,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
unable to access app after new updates,1,2025-07-31 14:45:59,Google Play,NEGATIVE,-0.9996956586837769,"['app', 'new updates']",sadness,"{'app': 'Negative', 'new updates': 'Negative'}",review
very good,5,2025-07-31 14:42:04,Google Play,POSITIVE,0.9998520612716675,[],joy,{},review
good,5,2025-07-31 14:17:48,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
This app is not available in Chromebook and laptop. Please make it available,2,2025-07-31 14:12:47,Google Play,NEGATIVE,-0.9796949625015259,"['this app', 'chromebook', 'laptop']",neutral,"{'this app': 'Negative', 'chromebook': 'Negative', 'laptop': 'Negative'}",review
"if beta program is full... it means I can't do anything with this app??? I should uninstall this app? don't know what to say?? I have downloaded this app since so long and updated many times but this app is not sending verification mail on my gmail account, so I can't start my work and all. what to do?? 🥺",1,2025-07-31 13:48:26,Google Play,NEGATIVE,-0.9989473223686218,"['beta program', 'this app', 'this app', 'this app', 'this app', 'verification mail', 'my gmail account', 'my work']",sadness,"{'beta program': 'Negative', 'this app': 'Negative', 'verification mail': 'Negative', 'my gmail account': 'Negative', 'my work': 'Negative'}",review
simple,5,2025-07-31 13:21:01,Google Play,POSITIVE,0.9996788501739502,[],neutral,{},review
good,5,2025-07-31 12:56:43,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
good,4,2025-07-31 12:33:41,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
verrygood,5,2025-07-31 12:25:33,Google Play,POSITIVE,0.8545545339584351,['verrygood'],neutral,{'verrygood': 'Positive'},review
good,4,2025-07-31 12:13:47,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
application not open.. running take more time,1,2025-07-31 11:53:35,Google Play,NEGATIVE,-0.9997289776802063,"['application', 'more time']",sadness,"{'application': 'Negative', 'more time': 'Negative'}",review
good,5,2025-07-31 11:42:20,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
good,5,2025-07-31 11:41:38,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
"Good for nothing . been trying to fetch my EPFO passbook, error keeps occurring.. not serving the purpose.. uninstalling finally",1,2025-07-31 11:29:36,Google Play,NEGATIVE,-0.9998119473457336,"['my epfo passbook', 'error', 'the purpose']",sadness,"{'my epfo passbook': 'Negative', 'error': 'Negative', 'the purpose': 'Negative'}",bug_report
very good jcjstuo,5,2025-07-31 10:46:04,Google Play,POSITIVE,0.9998328685760498,['very good jcjstuo'],joy,{'very good jcjstuo': 'Positive'},review
aap is not work all time.,1,2025-07-31 10:41:48,Google Play,NEGATIVE,-0.9990479350090027,['aap'],sadness,{'aap': 'Neutral'},review
enakku app open agala,1,2025-07-31 09:59:43,Google Play,NEGATIVE,-0.592968225479126,"['enakku app', 'open agala']",neutral,"{'enakku app': 'Neutral', 'open agala': 'Neutral'}",review
good,4,2025-07-31 08:58:30,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
"The app is not opening, it was working fine earlier",1,2025-07-31 08:42:56,Google Play,NEGATIVE,-0.982711136341095,['the app'],neutral,{'the app': 'Negative'},review
since I downloaded trying to raise a claim 10c but I couldn't get it all the time showing regret,2,2025-07-31 08:25:34,Google Play,NEGATIVE,-0.9969149827957153,"['a claim', '10c', 'regret']",sadness,"{'a claim': 'Negative', '10c': 'Negative', 'regret': 'Negative'}",review
very good service,5,2025-07-31 08:14:20,Google Play,POSITIVE,0.9998648166656494,['very good service'],joy,{'very good service': 'Positive'},review
nice,5,2025-07-31 08:03:16,Google Play,POSITIVE,0.9998552799224854,[],neutral,{},review
super,5,2025-07-31 07:25:00,Google Play,POSITIVE,0.998783528804779,['super'],neutral,{'super': 'Positive'},review
very good app,5,2025-07-31 07:00:21,Google Play,POSITIVE,0.9998675584793091,['very good app'],joy,{'very good app': 'Positive'},review
best Service,5,2025-07-31 04:37:35,Google Play,POSITIVE,0.999809205532074,['best service'],neutral,{'best service': 'Positive'},review
it's not open app im trying all tips but it's not open way I'm very disappointed pliz pex this,1,2025-07-31 00:09:20,Google Play,NEGATIVE,-0.9955248832702637,"['open app', 'all tips', 'open way', 'pliz']",sadness,"{'open app': 'Negative', 'all tips': 'Negative', 'open way': 'Negative', 'pliz': 'Negative'}",review
bad experience sometime not working properly,1,2025-07-30 23:32:08,Google Play,NEGATIVE,-0.9998015761375427,['bad experience'],sadness,{'bad experience': 'Negative'},bug_report
application erre hota h,1,2025-07-30 23:24:59,Google Play,NEGATIVE,-0.9810965657234192,['application erre hota h'],neutral,{'application erre hota h': 'Positive'},review
very good👍,5,2025-07-30 23:21:08,Google Play,POSITIVE,0.8243634104728699,[],joy,{},review
my life is my umang,5,2025-07-30 22:48:41,Google Play,POSITIVE,0.9978450536727905,"['my life', 'my umang']",sadness,"{'my life': 'Positive', 'my umang': 'Positive'}",review
so work full,5,2025-07-30 22:22:36,Google Play,POSITIVE,0.9983421564102173,[],neutral,{},review
"Already have been solve previous problem, Thanks ""UMANG""💐💐💐💐💐",5,2025-07-30 22:13:04,Google Play,POSITIVE,0.9638524055480957,"['previous problem', '""umang']",neutral,"{'previous problem': 'Positive', '""umang': 'Positive'}",bug_report
so nice,5,2025-07-30 22:13:01,Google Play,POSITIVE,0.9998610019683838,[],joy,{},review
incredible App 😀👍,5,2025-07-30 20:56:41,Google Play,POSITIVE,0.9997276663780212,['incredible app 😀👍'],joy,{'incredible app 😀👍': 'Positive'},review
nice app,5,2025-07-30 20:39:42,Google Play,POSITIVE,0.9998061060905457,['nice app'],neutral,{'nice app': 'Positive'},review
good application 👍,5,2025-07-30 20:31:31,Google Play,POSITIVE,0.9998018145561218,['good application'],neutral,{'good application': 'Positive'},review
very poor process,1,2025-07-30 20:21:12,Google Play,NEGATIVE,-0.9998058676719666,['very poor process'],sadness,{'very poor process': 'Negative'},review
सही से काम नहीं करता है,1,2025-07-30 20:09:21,Google Play,NEGATIVE,-0.8078674674034119,['से काम नहीं करता है'],neutral,{'से काम नहीं करता है': 'Negative'},review
very nice,4,2025-07-30 20:03:13,Google Play,POSITIVE,0.9998563528060913,[],joy,{},review
I like it❤️,5,2025-07-30 19:31:22,Google Play,POSITIVE,0.9989686012268066,[],joy,{},review
good,5,2025-07-30 19:27:26,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
good,5,2025-07-30 18:47:47,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
supur super,5,2025-07-30 18:15:50,Google Play,POSITIVE,0.7495640516281128,['super'],neutral,{'super': 'Positive'},review
good 👍👍,5,2025-07-30 17:43:55,Google Play,POSITIVE,0.9998576641082764,[],joy,{},review
good,5,2025-07-30 16:43:40,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
worst app anything is not working,1,2025-07-30 16:33:31,Google Play,NEGATIVE,-0.9998154044151306,[],disgust,{},bug_report
bhut acha aap hai,4,2025-07-30 16:29:46,Google Play,POSITIVE,0.7981328964233398,['bhut acha aap hai'],sadness,{'bhut acha aap hai': 'Positive'},review
governments best 👌 work,5,2025-07-30 16:25:06,Google Play,POSITIVE,0.998281717300415,['governments'],neutral,{'governments': 'Positive'},review
ok,4,2025-07-30 15:17:36,Google Play,POSITIVE,0.9997851252555847,[],neutral,{},review
very good app,5,2025-07-30 15:02:37,Google Play,POSITIVE,0.9998675584793091,['very good app'],joy,{'very good app': 'Positive'},review
gret,5,2025-07-30 14:46:39,Google Play,NEGATIVE,-0.9708701968193054,['gret'],sadness,{'gret': 'Positive'},review
good experience,4,2025-07-30 14:28:44,Google Play,POSITIVE,0.9998599290847778,['good experience'],joy,{'good experience': 'Positive'},review
kya application he yaar abhi tak pf jama nahi huaa stuts show hi ni ho rha he ek application he jha stuts dikhta he wo bhi theek se nahi chalta,1,2025-07-30 14:23:19,Google Play,NEGATIVE,-0.9966589212417603,"['abhi tak', 'jama nahi huaa stuts', 'application', 'stuts', 'theek', 'se nahi chalta']",neutral,"{'abhi tak': 'Negative', 'jama nahi huaa stuts': 'Negative', 'application': 'Negative', 'stuts': 'Negative', 'theek': 'Negative', 'se nahi chalta': 'Negative'}",review
"This app is no more working as earlier, I'm not even able to see the services.",1,2025-07-30 14:22:12,Google Play,NEGATIVE,-0.9986037611961365,"['this app', 'the services']",sadness,"{'this app': 'Negative', 'the services': 'Negative'}",review
"App need some imp updates, couldn't verify e-mail id due to below reason... apirevamp-nlb.umangapp.in doesn’t support a secure connection with HTTPS Attackers can see and change information you send or receive from the site. It's safest to visit this site later if you're using a public network. There is less risk from a trusted network, like your home or work Wi-Fi. You might also contact the site owner and suggest they upgrade to HTTPS. Learn more about this warning",3,2025-07-30 14:03:42,Google Play,NEGATIVE,-0.9980558156967163,"['app', 'some imp updates', 'mail', 'reason', 'apirevamp-nlb.umangapp.in', 'a secure connection', 'https attackers', 'information', 'the site', 'this site', 'a public network', 'less risk', 'a trusted network', 'your home', 'the site owner', 'https', 'this warning']",fear,"{'app': 'Negative', 'some imp updates': 'Negative', 'mail': 'Negative', 'reason': 'Negative', 'apirevamp-nlb.umangapp.in': 'Negative', 'a secure connection': 'Negative', 'https attackers': 'Negative', 'information': 'Negative', 'the site': 'Negative', 'this site': 'Negative', 'a public network': 'Negative', 'less risk': 'Negative', 'a trusted network': 'Negative', 'your home': 'Negative', 'the site owner': 'Negative', 'https': 'Negative', 'this warning': 'Negative'}",review
app not opening in my device,1,2025-07-30 14:02:26,Google Play,NEGATIVE,-0.9993867874145508,"['app', 'my device']",sadness,"{'app': 'Negative', 'my device': 'Negative'}",review
bahut vadia good,5,2025-07-30 13:51:23,Google Play,POSITIVE,0.9997695088386536,['bahut vadia'],joy,{'bahut vadia': 'Positive'},review
good 👍👍👍👍,4,2025-07-30 13:23:52,Google Play,POSITIVE,0.9998576641082764,[],joy,{},review
yas,5,2025-07-30 13:19:32,Google Play,POSITIVE,0.8573846817016602,['yas'],neutral,{'yas': 'Positive'},review
I am satisfied this aap,5,2025-07-30 13:18:05,Google Play,POSITIVE,0.9994449019432068,[],joy,{},review
Too helpfull.,5,2025-07-30 12:19:09,Google Play,NEGATIVE,-0.9967448711395264,[],sadness,{},review
very bad,1,2025-07-30 12:01:10,Google Play,NEGATIVE,-0.9997884631156921,[],disgust,{},review
ok,5,2025-07-30 12:00:10,Google Play,POSITIVE,0.9997851252555847,[],neutral,{},review
Umang not working. Please do the needful.,1,2025-07-30 11:26:24,Google Play,NEGATIVE,-0.9985111355781555,"['umang', 'the needful']",neutral,"{'umang': 'Negative', 'the needful': 'Neutral'}",bug_report
app not good work,1,2025-07-30 11:26:24,Google Play,NEGATIVE,-0.9997463822364807,['not good work'],sadness,{'not good work': 'Negative'},review
very slow app ☹️,2,2025-07-30 11:22:42,Google Play,NEGATIVE,-0.9991080164909363,['very slow app'],sadness,{'very slow app': 'Negative'},review
Good,5,2025-07-30 11:09:30,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
