review,rating,date,source,sentiment_label,sentiment_score,topics,emotion,aspect_sentiments,category
very good,5,2025-07-31 14:43:03,Google Play,POSITIVE,0.9998520612716675,[],joy,{},review
ok,5,2025-07-31 11:56:24,Google Play,POSITIVE,0.9997851252555847,[],neutral,{},review
very good,4,2025-07-31 10:40:08,Google Play,POSITIVE,0.9998520612716675,[],joy,{},review
easy to apply voter card,5,2025-07-31 09:19:26,Google Play,POSITIVE,0.9917343854904175,['voter card'],neutral,{'voter card': 'Positive'},review
very nice application,5,2025-07-31 07:24:36,Google Play,POSITIVE,0.9998540878295898,['very nice application'],joy,{'very nice application': 'Positive'},review
naic app,5,2025-07-30 21:35:38,Google Play,NEGATIVE,-0.9790164232254028,['naic app'],neutral,{'naic app': 'Positive'},review
very nice 👍👍👍,1,2025-07-30 21:18:00,Google Play,POSITIVE,0.9998577833175659,[],joy,{},review
easy to use,5,2025-07-30 21:04:38,Google Play,POSITIVE,0.9988542795181274,[],neutral,{},review
logging out problem kindly solve request you,1,2025-07-30 14:50:54,Google Play,NEGATIVE,-0.797208309173584,"['problem', 'request']",neutral,"{'problem': 'Negative', 'request': 'Negative'}",bug_report
Not followed properly to develop software of the app.,3,2025-07-30 13:52:09,Google Play,NEGATIVE,-0.9997283816337585,"['software', 'the app']",sadness,"{'software': 'Negative', 'the app': 'Negative'}",review
ye aap bahut bakwaas h isme submit kuch or kiya jata h or ho kuch or jata h plz ye aap use mat karo time west aap h sab galat galat ban jata h or bad me bahut problem hota h,1,2025-07-30 13:50:04,Google Play,NEGATIVE,-0.9990743398666382,"['ye aap bahut', 'bakwaas h isme', 'kuch or kiya jata h', 'ho kuch', 'west aap h sab galat galat', 'bad me bahut problem', 'hota']",sadness,"{'ye aap bahut': 'Negative', 'bakwaas h isme': 'Negative', 'kuch or kiya jata h': 'Negative', 'ho kuch': 'Negative', 'west aap h sab galat galat': 'Negative', 'bad me bahut problem': 'Negative', 'hota': 'Negative'}",bug_report
wrost App don't use,1,2025-07-30 10:50:40,Google Play,NEGATIVE,-0.9964181184768677,['wrost app'],neutral,{'wrost app': 'Negative'},review
best for voter service,5,2025-07-30 07:54:02,Google Play,POSITIVE,0.998206615447998,['voter service'],neutral,{'voter service': 'Positive'},review
good,5,2025-07-29 22:54:06,Google Play,POSITIVE,0.9998161196708679,[],neutral,{},review
good apps,4,2025-07-29 22:46:33,Google Play,POSITIVE,0.9998608827590942,['good apps'],neutral,{'good apps': 'Positive'},review
votar List Download 2002yesr,2,2025-07-29 21:20:54,Google Play,NEGATIVE,-0.9781261086463928,['votar list download 2002yesr'],neutral,{'votar list download 2002yesr': 'Neutral'},review
so nice,5,2025-07-29 19:18:35,Google Play,POSITIVE,0.9998610019683838,[],joy,{},review
nic,5,2025-07-29 16:16:56,Google Play,POSITIVE,0.9977141618728638,[],neutral,{},review
